open_time,open,high,low,close,volume,quote_vol,close_time
1698796800000,0.0011466,0.0011648,0.0011417,0.0011536,0,0,1698800399999
1698800400000,0.0011536,0.00118049,0.00115333,0.001162,0,0,1698803999999
1698804000000,0.00116264,0.0011668,0.00115438,0.0011545,0,0,1698807599999
1698807600000,0.0011545,0.0011609,0.0011526,0.00115427,0,0,1698811199999
1698811200000,0.00115356,0.00115602,0.00114628,0.0011529,0,0,1698814799999
1698814800000,0.00115288,0.00115298,0.00110978,0.00111589,0,0,1698818399999
1698818400000,0.0011164,0.00113232,0.0011041,0.0011255,0,0,1698821999999
1698822000000,0.0011255,0.00113455,0.00112021,0.0011248,0,0,1698825599999
1698825600000,0.00112472,0.0011335,0.00112361,0.00112426,0,0,1698829199999
1698829200000,0.0011242,0.0011304,0.00112203,0.00112801,0,0,1698832799999
1698832800000,0.00112801,0.0011298,0.0010929,0.00110054,0,0,1698836399999
1698836400000,0.00110057,0.0011178,0.00109374,0.0011166,0,0,1698839999999
1698840000000,0.0011166,0.00113713,0.00110469,0.00113458,0,0,1698843599999
1698843600000,0.0011344,0.00116646,0.00111326,0.00112336,0,0,1698847199999
1698847200000,0.00112351,0.00112885,0.0010935,0.0011005,0,0,1698850799999
1698850800000,0.0011008,0.001114,0.0010978,0.00110925,0,0,1698854399999
1698854400000,0.00110927,0.00112315,0.00110698,0.001117,0,0,1698857999999
1698858000000,0.0011171,0.00112884,0.00111387,0.00112844,0,0,1698861599999
1698861600000,0.00112844,0.00117585,0.00112289,0.00115742,0,0,1698865199999
1698865200000,0.00115742,0.00117233,0.00114892,0.0011585,0,0,1698868799999
1698868800000,0.0011587,0.00122065,0.0011586,0.0012166,0,0,1698872399999
1698872400000,0.00121626,0.0012242,0.00118475,0.0011917,0,0,1698875999999
1698876000000,0.0011917,0.0011967,0.00117274,0.0011783,0,0,1698879599999
1698879600000,0.0011785,0.0011882,0.0011732,0.0011868,0,0,1698883199999
1698883200000,0.0011867,0.00119852,0.00117663,0.00119815,0,0,1698886799999
1698886800000,0.00119815,0.0012102,0.00118774,0.00118996,0,0,1698890399999
1698890400000,0.00119009,0.00120328,0.0011813,0.0011957,0,0,1698893999999
1698894000000,0.0011958,0.00121145,0.0011917,0.00120535,0,0,1698897599999
1698897600000,0.001205,0.0012076,0.00117169,0.00117772,0,0,1698901199999
1698901200000,0.00117773,0.00117866,0.00114149,0.0011425,0,0,1698904799999
1698904800000,0.0011422,0.0011551,0.0011341,0.0011525,0,0,1698908399999
1698908400000,0.0011525,0.00115772,0.00114624,0.00114906,0,0,1698911999999
1698912000000,0.00114906,0.00115819,0.0011368,0.00115704,0,0,1698915599999
1698915600000,0.00115705,0.00115892,0.00115054,0.00115529,0,0,1698919199999
1698919200000,0.00115568,0.001159,0.00114582,0.0011483,0,0,1698922799999
1698922800000,0.0011483,0.0011539,0.00114107,0.0011524,0,0,1698926399999
1698926400000,0.00115243,0.00116032,0.001145,0.00115508,0,0,1698929999999
1698930000000,0.0011564,0.00115742,0.00111906,0.0011341,0,0,1698933599999
1698933600000,0.0011342,0.00113953,0.00110996,0.00112414,0,0,1698937199999
1698937200000,0.00112414,0.00112542,0.0010999,0.00110598,0,0,1698940799999
1698940800000,0.00110589,0.0011137,0.001056,0.00107717,0,0,1698944399999
1698944400000,0.00107717,0.00108921,0.00107162,0.0010887,0,0,1698947999999
