symbol,bucket,value,n,expectancy_r,win_rate,profit_factor
LTC/USDT:USDT,hour,12,54,-0.0531,0.3704,0.91
LTC/USDT:USDT,hour,16,64,-0.1383,0.3594,0.742
LTC/USDT:USDT,hour,20,67,-0.0983,0.3582,0.819
LTC/USDT:USDT,weekday,0,65,-0.1265,0.3385,0.804
LTC/USDT:USDT,weekday,1,41,0.3595,0.5122,1.825
LTC/USDT:USDT,weekday,2,34,0.032,0.3529,1.06
LTC/USDT:USDT,weekday,3,58,0.0215,0.3793,1.042
LTC/USDT:USDT,weekday,4,63,-0.1553,0.3333,0.749
LTC/USDT:USDT,weekday,5,33,0.0737,0.5758,1.195
LTC/USDT:USDT,weekday,6,61,-0.3794,0.2623,0.417
