n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split,funding_p8h,bh_return,max_dd_pct,final_equity
525,0.5181,1.082,-0.947,1.228,0.1042,54.72,79.84,25.0,0.385,SOL/USDT:USDT,C2_MTF_BASE,ALL,4.6e-05,4.6845,0.2697,16701.9
377,0.5172,1.042,-0.955,1.169,0.0781,29.45,54.55,25.0,0.366,SOL/USDT:USDT,C2_MTF_BASE,TRAIN,4.6e-05,4.6845,0.2697,13110.83
148,0.5203,1.185,-0.929,1.383,0.1708,25.27,39.28,24.9,0.432,SOL/USDT:USDT,C2_MTF_BASE,TEST,4.6e-05,4.6845,0.1514,12739.01
303,0.4851,1.523,-0.788,1.82,0.3328,100.85,105.37,21.0,0.449,XRP/USDT:USDT,C1_BOS_H4v2,ALL,6.6e-05,1.9702,0.1533,26708.31
143,0.4266,1.566,-0.793,1.468,0.213,30.45,39.55,21.0,0.58,XRP/USDT:USDT,C1_BOS_H4v2,TRAIN,6.6e-05,1.9702,0.1533,13399.5
160,0.5375,1.492,-0.783,2.215,0.44,70.39,76.47,21.0,0.331,XRP/USDT:USDT,C1_BOS_H4v2,TEST,6.6e-05,1.9702,0.0971,19932.31
102,0.2647,0.889,-0.977,0.328,-0.4829,-49.26,48.19,25.0,0.686,XRP/USDT:USDT,C2_MTF_SWEEP,ALL,6.6e-05,1.9702,0.3859,6075.54
79,0.2405,0.886,-0.95,0.295,-0.5088,-40.2,44.05,25.0,0.646,XRP/USDT:USDT,C2_MTF_SWEEP,TRAIN,6.6e-05,1.9702,0.3587,6661.9
23,0.3478,0.897,-1.083,0.442,-0.3941,-9.06,10.91,25.0,0.826,XRP/USDT:USDT,C2_MTF_SWEEP,TEST,6.6e-05,1.9702,0.1039,9119.83
386,0.4508,1.058,-0.967,0.898,-0.0541,-20.87,52.07,25.0,0.637,XRP/USDT:USDT,C2_MTF_BASE,ALL,6.6e-05,1.9702,0.4104,7916.6
278,0.4604,0.963,-0.942,0.872,-0.0648,-18.02,52.07,25.0,0.608,XRP/USDT:USDT,C2_MTF_BASE,TRAIN,6.6e-05,1.9702,0.4104,8214.08
