n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split,trades,max_dd_pct
169,0.4201,1.686,-0.899,1.36,0.1874,31.666151309211557,43.09,21.0,0.621,LINK,C1_FRESH16,TRAIN,169,0.1773
112,0.4732,1.689,-0.842,1.801,0.3553,39.79090603241459,42.0,20.8,0.679,LINK,C1_FRESH16,TEST,112,0.1179
364,0.5247,1.375,-0.913,1.663,0.2874,104.63070275988544,117.4,20.8,0.503,AVAX,C1_BASE,ALL,364,0.2098
210,0.6,1.47,-0.956,2.307,0.4998,104.96188229306003,109.73,21.0,0.438,AVAX,C1_BASE,TRAIN,210,0.0921
154,0.4221,1.189,-0.872,0.996,-0.0022,-0.3311795331745926,23.42,20.5,0.591,AVAX,C1_BASE,TEST,154,0.2098
267,0.5056,1.403,-0.924,1.553,0.2524,67.39143822052264,74.3,20.8,0.517,AVAX,C1_FRESH16,ALL,267,0.1787
163,0.5767,1.458,-0.975,2.037,0.428,69.76869099672297,73.86,21.0,0.479,AVAX,C1_FRESH16,TRAIN,163,0.0675
104,0.3942,1.276,-0.868,0.957,-0.0229,-2.377252776200314,19.93,20.6,0.577,AVAX,C1_FRESH16,TEST,104,0.157
355,0.3746,1.331,-0.895,0.891,-0.061,-21.643788847704975,51.05,20.9,0.583,LTC,C1_BASE,ALL,355,0.4115
213,0.3568,1.308,-0.9,0.807,-0.1119,-23.836588161047587,41.74,21.0,0.648,LTC,C1_BASE,TRAIN,213,0.3483
142,0.4014,1.361,-0.887,1.029,0.0154,2.192799313342608,37.71,20.6,0.486,LTC,C1_BASE,TEST,142,0.316
236,0.3771,1.333,-0.906,0.89,-0.0619,-14.608845762065604,33.58,20.9,0.589,LTC,C1_FRESH16,ALL,236,0.2945
139,0.3597,1.323,-0.903,0.823,-0.1022,-14.20095309572813,25.79,21.0,0.647,LTC,C1_FRESH16,TRAIN,139,0.2327
97,0.4021,1.346,-0.912,0.992,-0.0042,-0.4078926663374765,29.66,20.7,0.505,LTC,C1_FRESH16,TEST,97,0.2578
