symbol,price,chg_24h_pct,qvol_24h
DOOD/USDT:USDT,0.002228,42.001,132613780.4762235
CATI/USDT:USDT,0.06283,29.6,34749442.47107
XAN/USDT:USDT,0.020716,22.732,67054179.662698
NAORIS/USDT:USDT,0.03862,22.37,30199776.54619
SOPH/USDT:USDT,0.005058,21.034,17173593.673198
IOST/USDT:USDT,0.0008996,19.532,32372058.5272839
CFG/USDT:USDT,0.1201,16.829,48575383.9927
ZHONGJI/USDT:USDT,152.2,16.299,11066405.7292
ORCA/USDT:USDT,1.541,15.691,73230088.2402
KAS/USDT:USDT,0.03493,15.624,9399709.96291
