market,symbol,base_asset,setup,validation_status,in_fixed_research_cohort,narratives,quote_volume_24h,asof_utc,status,signal,eligible,side,signal_candle_open_utc,signal_candle_close_utc,model_next_open_utc,signal_age_seconds,execution_interval,close,atr,daily_liquidity,htf_close,htf_ema50,htf_ema200,trend,daily_roc20,btc_roc20,reason,sleeve_equity_usdt,sleeve_drawdown_pct,risk_budget_usdt,available_sleeve_risk_usdt,account_state,quantity,quantity_text,size_status,reference_entry,reference_stop,reference_target,reference_notional_usdt,reference_margin_usdt,estimated_initial_risk_usdt,capacity_reserved,setup_backtest_status,setup_failed_checks
futures,CRVUSDT,CRV,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,41732884.16953,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.3805,0.006042703979174384,27805068.142004997,0.3789,0.3523438433649244,0.3003674475126249,1,0.5215118616807399,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
spot,TRUMPUSDT,TRUMP,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,17392819.325677,2026-09-06T23:45:01+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,2.315,0.07992943570598605,27322505.0243725,2.372,1.9547113648647514,2.7398436524246113,0,0.6942857142857144,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
futures,FETUSDT,FET,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,44650168.7327,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.1745,0.002919522546954206,26047816.17435,0.1724,0.15941986930736898,0.1528503127473713,1,0.35473251028806585,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,MAGMAUSDT,MAGMA,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,37270710.70375,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.24967,0.013566343884240011,25987003.57394,0.27331,0.32537410619312884,0.30492378151048044,0,0.7128875418324176,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
spot,PUMPUSDT,PUMP,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,43844451.879661,2026-09-06T23:45:01+00:00,WATCH,0,True,long,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,0.003838,0.00018672832956380804,25883811.5641955,0.003841,0.00333059004713955,0.002541120105736007,1,0.43911577369801424,0.2691852146263911,Filters pass; no trigger on latest closed candle,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
spot,NEARUSDT,NEAR,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,88575909.8316,2026-09-06T23:45:01+00:00,WATCH,0,True,long,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,2.422,0.09441218976921469,24810373.50945,2.192,1.848415104900094,1.8075039574285559,1,0.3674360573923894,0.2691852146263911,Filters pass; no trigger on latest closed candle,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
futures,APTUSDT,APT,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,38892956.33761,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.6212,0.008749432251201303,24707642.90451,0.6169,0.5854532287354566,0.5796588622663924,1,0.18494208494208486,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
spot,UNIUSDT,UNI,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,True,,90071226.78374,2026-09-06T23:45:01+00:00,WATCH,0,True,long,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,7.131,0.3016976551623255,24679146.733145,7.048,4.369370551264385,4.0526547744608035,1,1.15271838729383,0.2691852146263911,Filters pass; no trigger on latest closed candle,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
spot,PEPEUSDT,PEPE,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,19809438.2550439,2026-09-06T23:45:01+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,3.6e-06,9.395064719138022e-08,24534741.66768368,3.61e-06,3.235510647526516e-06,3.649256159265441e-06,0,0.4046692607003892,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
futures,ARBUSDT,ARB,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,857597429.700795,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.18935,0.007294876359874867,24201034.866203003,0.18345,0.1327008757533198,0.10198418247360812,1,1.4096041354917697,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,DASHUSDT,DASH,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,420950949.7,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,71.06,2.7745564312642017,23795637.216835,70.9,53.02344187239626,41.2480879749225,1,1.184517851184518,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
spot,UUSDT,U,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,14645889.7532,2026-09-06T23:45:01+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,0.9993,0.00017033900827525316,23400373.889650002,0.9994,1.000013340270257,1.0002517528574117,-1,-0.0009996001599360538,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
futures,WLFIUSDT,WLFI,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,17984791.50654,2026-09-06T23:45:30+00:00,WATCH,0,True,short,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.0566,0.00040643066138104856,23176416.696475,0.0562,0.05721482944695712,0.05739530254520719,-1,-0.040120866207822625,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,VIRTUALUSDT,VIRTUAL,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,39713140.02755,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.7186,0.01077998189320965,23142636.745495,0.6964,0.6881927256193295,0.6555288173298083,1,0.24442833846711376,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,ETHFIUSDT,ETHFI,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,17489645.24602,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.5694,0.008624431835865785,22515537.40603,0.5691,0.5665066626783645,0.5186511477842967,1,0.1426578999800756,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,1000BONKUSDT,1000BONK,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,50808647.168194,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.003367,8.18216887272769e-05,21515336.535003997,0.003423,0.0031328273795098917,0.0029825816499505268,1,0.3925476603119582,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,龙虾USDT,龙虾,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,27262133.185715,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.074337,0.0030992149794811007,21394416.3847325,0.074149,0.07186755908222811,0.044892213688004536,1,3.2379156999226604,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
