market,year,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
spot,2022,0,0.0,3000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0
spot,2023,77,170.0773200440217,3170.0773200440217,5.6692440014673995,9.288527695805538,9.395928176911706,1.1644906626861289,32.467532467532465,0.13762006668900414,75.98468528741431,0.0,8,201.33333333333334,0.5451207109836347,37.077625570776256,1.0800249583553523e-12
spot,2024,101,488.7862456779585,3488.7862456779585,16.29287485593196,16.341535226824732,17.146296095278522,1.369233688724206,34.65346534653465,0.24563604829881405,91.11249063817074,0.0,10,271.1666666666667,1.1032029321650472,63.52459016393443,2.5011104298755527e-12
spot,2025,85,436.3549159094173,3436.3549159094173,14.545163863647236,10.195579388038588,10.388859056436194,1.407819690261168,35.294117647058826,0.26227703778750594,96.0424290658337,0.0,12,182.66666666666666,1.1856566453896977,38.21917808219178,1.9895196601282805e-12
spot,2026,0,0.0,3000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0
futures,2022,239,-67.3009004661144,932.6990995338856,-6.730090046611437,33.88051060351186,35.745078404128236,0.9683055172797563,30.543933054393307,-0.008478222409156144,122.61969950171986,10.274621252034283,17,196.125,-0.10446150775572373,68.39041095890411,-3.410605131648481e-13
futures,2023,259,96.94683885451764,1096.9468388545176,9.69468388545176,22.85387247013001,22.971080470991357,1.04551683601862,33.204633204633204,0.05217717720165454,172.6952389776747,8.817360428550776,10,127.83333333333333,0.4503353218355408,75.51369863013699,-2.0747847884194925e-12
futures,2024,279,-60.84903347213026,939.1509665278697,-6.084903347213022,22.920660720683173,23.03864613807822,0.9749072549066465,30.824372759856633,0.005696390748180566,159.83900663189706,11.363114304445055,11,261.5,-0.05309132552986555,78.87067395264117,-5.542233338928781e-13
futures,2025,269,-523.2887438820951,476.71125611790484,-52.32887438820952,57.75605173706444,57.889916718497346,0.6896066750431851,24.53531598513011,-0.20104856566460894,104.49382418692993,5.169708166461366,15,348.125,-2.234852918750839,72.31735159817352,4.547473508864641e-13
futures,2026,196,-96.51710995759458,903.4828900424054,-9.651710995759455,27.525231831873022,28.016731308070174,0.9314700439227651,30.612244897959183,-0.023667867281748536,122.20880214312608,11.008420339146383,16,155.58333333333334,-0.34979073081479806,72.99382716049382,1.5916157281026244e-12
