market,period,stop_atr,reward_r,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
spot,development,1.5,2.0,113,1.876274314447528,3001.8762743144475,0.062542477148253,8.22585817229391,8.64202673679404,1.001396703958368,37.16814159292036,0.021476279876284705,127.57308555045121,0.0,13,260.6666666666667,0.03837367247210552,11.849315068493151,4.938272013532696e-13
spot,development,1.5,3.0,97,25.35154838459721,3025.351548384597,0.8450516128199137,8.5811784271141,8.995735719447106,1.019460551598499,29.896907216494846,0.04064911419546419,110.31309631322667,0.0,13,201.16666666666666,0.09251856767181946,14.794520547945206,2.0037305148434825e-12
spot,development,1.5,4.0,91,-1.2819610693622963,2998.7180389306377,-0.04273203564540973,9.354052388755541,9.584981755989508,0.9989893190364048,24.175824175824175,0.04677827151913125,101.95610787266907,0.0,11,235.66666666666666,0.04328274505509543,15.662100456621006,-2.5366375666635577e-12
spot,development,2.0,2.0,91,229.009998649517,3229.009998649517,7.63366662165057,7.562833813596937,7.968077774092841,1.2059413791674314,41.75824175824176,0.14622727006942063,91.8953194643388,0.0,11,194.0,0.578367197111679,17.146118721461185,1.4779288903810084e-12
spot,development,2.0,3.0,77,170.0773200440217,3170.0773200440217,5.6692440014673995,9.288527695805538,9.395928176911706,1.1644906626861289,32.467532467532465,0.13762006668900414,75.98468528741431,0.0,8,201.33333333333334,0.38590721051510485,18.538812785388128,1.0800249583553523e-12
spot,development,2.0,4.0,71,403.6779565034799,3403.67795650348,13.455931883449335,7.441422348738191,7.551009763843886,1.4137955174613888,32.3943661971831,0.3149464921060926,72.07701614474267,0.0,8,190.0,0.7634207218572516,18.767123287671232,-5.115907697472721e-13
spot,development,2.5,2.0,75,32.81567878451597,3032.815678784516,1.0938559594838582,9.073358727986713,9.161482956227818,1.0362973189512574,38.666666666666664,0.03358864991410181,60.84468747169214,0.0,8,238.5,0.1160976582014397,20.02283105022831,-2.0747847884194925e-12
spot,development,2.5,3.0,69,226.13291668824877,3226.1329166882488,7.5377638896082955,9.109502804101833,9.197592002248701,1.2468766981380621,33.33333333333333,0.17896475168176548,57.10898160217148,0.0,8,198.66666666666666,0.517137467945905,20.525114155251142,7.958078640513122e-13
spot,development,2.5,4.0,55,576.6903821544747,3576.6903821544747,19.22301273848248,8.367784412453949,8.456592468791568,1.865420889232904,38.18181818181819,0.5138454407670021,46.99766981753384,0.0,9,196.33333333333334,1.137920143982704,22.054794520547947,-1.1368683772161603e-13
spot,validation,1.5,2.0,168,-169.7931246323692,2830.206875367631,-5.659770821078968,14.016181401229133,14.19136393442515,0.9184577567829627,34.523809523809526,-0.0389004146369623,170.97508801304576,0.0,10,301.5,-0.3745353376174489,47.540983606557376,-1.3642420526593924e-12
spot,validation,1.5,3.0,146,25.87749638612877,3025.8774963861288,0.8625832128709598,17.2705866783473,17.43913872025108,1.0124710662304164,28.08219178082192,0.040228932678527514,153.15621140632308,0.0,12,262.5,0.13151236044826864,53.41530054644809,-1.4495071809506044e-12
spot,validation,1.5,4.0,130,53.5520330653203,3053.5520330653203,1.7850677688440175,22.00400962919147,22.272358497083356,1.0271592165721328,23.076923076923077,0.045697139620137085,137.8396562851065,0.0,14,301.3333333333333,0.18795582578194125,56.557377049180324,2.1316282072803006e-12
spot,validation,2.0,2.0,115,324.0543264614248,3324.054326461425,10.801810882047501,13.754294743550034,15.001396733299622,1.2310860627725184,40.869565217391305,0.14729639246147364,99.84110719217529,0.0,9,261.1666666666667,0.869010120761768,60.92896174863388,-4.206412995699793e-12
