atr_pct_avg,atr_pct_p90,vol_avg,n_bars,last,first,ret_45d,symbol,vol24h,chg24h,tier
1.0321560131826162,1.658606517239622,23263.89827777778,270,79600.0,66014.8,21.29191123138716,BTCUSDT,11164098811.41,-2.005,T1 - ổn định
1.4050524259853907,2.2222175636870323,587895.6411296297,270,2452.99,1942.06,27.79583841288695,ETHUSDT,6558130592.87,-2.732,T2 - cân bằng
2.837820915820091,4.387067166117661,199225.67267407407,270,1009.68,507.89,96.49314002140702,ZECUSDT,2373275861.58,0.358,T3 - biến động mạnh
1.6649393005514777,2.77560321209807,3007375.143740741,270,102.23,78.43,31.807632800412588,SOLUSDT,1392221556.7852,-1.947,T2 - cân bằng
1.8757849147662014,3.5542844465347354,115816359.05370371,270,1.4021,1.1507,23.7183446571958,XRPUSDT,971970829.5871,-3.523,T2 - cân bằng
2.270737028083649,3.37933109976946,1540551.1474814818,270,84.875,58.068,43.729255571360824,HYPEUSDT,669469163.68884,-2.442,T2 - cân bằng
1.0500492293816253,1.6633171529893143,74880.08037037036,270,751.04,572.88,31.61362680499089,BNBUSDT,627135316.915,3.655,T1 - ổn định
2.6533480433275987,4.974678679376664,160077.75484074076,270,67.97,33.56,102.77446300715987,DASHUSDT,576990633.13,28.163,T3 - biến động mạnh
5.409737994933554,9.032564031036335,74081732.44444445,270,0.23531,0.06498,287.5329380764163,USELESSUSDT,528007753.17426,-10.824,T4 - rất mạnh (size nhỏ)
1.7753214326980333,3.0681617841160396,768976765.1222222,270,0.08596,0.07304,18.844186368035377,DOGEUSDT,445776001.41232,-2.151,T2 - cân bằng
2.5513000165902917,3.919885791893296,10183655.611111112,270,2.247,1.888,20.547210300429164,NEARUSDT,370201989.078,11.117,T3 - biến động mạnh
6.123363212077727,11.413390503310577,128573150.81851852,270,0.057248,0.011889,385.81126951799047,BULLAUSDT,313837919.794708,59.364,QUÁ MẠNH (bỏ)
11.961645502871903,22.152208507650787,6653007738.740741,270,0.019513,0.0019185,1006.869362981451,AKEUSDT,290371009.5007844,44.679,QUÁ MẠNH (bỏ)
3.07931941296124,4.635460862784672,4913447.944444444,270,6.25,3.814,65.12549537648613,UNIUSDT,250498934.648,-0.493,T3 - biến động mạnh
2.1335604700437294,3.6124663702358695,35821075.44703704,270,0.7829,0.7703,2.688877229800646,SUIUSDT,241805732.65461,0.876,T2 - cân bằng
3.4249775748887963,8.885184140276028,42797450.97037037,270,0.05466,0.0328,70.54602184087362,FLOCKUSDT,240737093.05538,35.594,T3 - biến động mạnh
3.6266533672307926,6.94396660400534,280357830.73333335,270,0.16297,0.08927,78.9109671753211,ENAUSDT,236198005.04448,-4.832,T3 - biến động mạnh
3.640844646290984,7.828565332845676,16409148.181740744,270,2.388,1.604,49.811794228356334,TRUMPUSDT,234121087.07447,-0.334,T3 - biến động mạnh
2.6007551157707858,4.208275348269645,9949120059.351852,270,0.0035247,0.0028749,23.843153789396034,1000PEPEUSDT,206514117.1207201,-4.419,T3 - biến động mạnh
6.373465709972926,10.082823290527301,220661405.24814814,270,0.025175,0.008396,204.70830307431612,4USDT,201413782.327211,61.976,QUÁ MẠNH (bỏ)
2.4594580291867563,3.37353123067409,135045352.62592593,270,0.2124,0.1779,22.13916043703279,ADAUSDT,188617699.2717,-4.148,T2 - cân bằng
4.019292543145453,6.251239149569956,3135218.341111111,270,4.6366,2.3756,101.6351380734942,LITUSDT,154080193.2973,-0.063,T4 - rất mạnh (size nhỏ)
2.6748494152594153,5.521824285791703,89328773.35666667,270,0.13359,0.09088,49.44624678375655,ARBUSDT,141298662.072717,-1.351,T3 - biến động mạnh
2.2634408599039326,3.6333876434651136,64465.481137037044,270,238.87,200.85,22.70509066625572,TAOUSDT,139597642.2,4.134,T2 - cân bằng
4.529668346548932,5.999040389604859,8360963039.614815,270,0.004185,0.001953,120.03154574132493,PUMPUSDT,134124074.624569,-0.428,T4 - rất mạnh (size nhỏ)
1.9398825811624139,2.661647654596925,2177104.5211481485,270,11.723,8.685,36.552125800815375,LINKUSDT,131442967.508,-2.713,T2 - cân bằng
2.7138145366748465,4.883112999650288,377972.6055555556,270,7.262,4.17,76.94931773879141,ZENUSDT,129512210.882,14.901,T3 - biến động mạnh
1.3731384152639896,2.4271777073993133,182905.01809259263,270,52.97,46.82,12.034686971235198,LTCUSDT,124149425.28,3.255,T2 - cân bằng
