Symbol,Lệnh,Thắng,Thua,WinRate%,PnL($),ProfitFactor,MaxWin($),MaxLoss($),AvgWin($),AvgLoss($)
ZECUSDT,8,4,4,50.0,1113.5614042332306,31.86380143096029,1068.2045516650144,-13.20782162265452,287.41031419152847,-9.019963133220752
SUIUSDT,4,1,3,25.0,250.52093660917777,20.192211149140547,263.57419736492955,-6.822534111750748,263.57419736492955,-4.351086918583921
XRPUSDT,6,2,4,33.33333333333333,230.25314639992763,11.053926579506339,243.73840208672294,-9.455021212813811,126.57747969799163,-5.725453249013913
TUTUSDT,2,1,1,50.0,175.2993215947635,60.41497010117559,178.2497450536368,-2.9504234588732885,178.2497450536368,-2.9504234588732885
DOGEUSDT,3,1,2,33.33333333333333,122.97788270514953,8.074202688906158,140.3618746704921,-10.474010219406395,140.3618746704921,-8.69199598267129
TRXUSDT,10,3,7,30.0,113.53003300868659,9.493627092159068,95.11055244268664,-6.329314657177292,42.29884302078545,-1.9094994362385347
XLMUSDT,4,1,3,25.0,87.35070227093803,3.420284085967605,123.4417970219148,-20.0610093383131,123.4417970219148,-12.030364916992255
PUMPUSDT,2,1,1,50.0,86.15174162311239,21.271120957979583,90.40171585007784,-4.249974226965449,90.40171585007784,-4.249974226965449
BNBUSDT,5,2,3,40.0,82.39352612630682,12.058178889987229,82.42640004810593,-4.731941373985933,44.922219440103106,-2.4836375846331293
DASHUSDT,5,3,2,60.0,62.19109265247458,14.504797777748493,33.26391221577842,-3.804759678341533,22.265401213872803,-2.3025554945719087
UNIUSDT,5,3,2,60.0,55.11855080543406,5.438067532138459,30.839103507908163,-6.479786307473063,22.512681430448907,-6.20974674295633
PAXGUSDT,9,5,4,55.55555555555556,53.48160058706023,7.505071743394989,22.89929997876672,-3.3092870679224546,12.340624829081474,-2.055380889586786
BTCUSDT,10,3,7,30.0,50.98510680871503,4.257073245366323,57.18829005894048,-4.2993442916850455,22.21292120835862,-2.236236688051547
ZENUSDT,6,2,4,33.33333333333333,46.46411580316619,3.2709154226164436,64.08382058971657,-8.571871785878564,33.462319086218585,-5.115130592317744
ENAUSDT,3,3,0,100.0,41.58419846669496,999.0,20.091999177208407,0.0,13.86139948889832,0.0
PROMUSDT,9,2,7,22.22222222222222,36.44168521370088,1.5368585227249227,80.373523038005,-14.73038555492569,52.16058992494693,-9.697070662313283
ADAUSDT,6,1,5,16.666666666666664,32.073573778434074,2.019445191035647,63.535366977782786,-12.268115307819386,63.535366977782786,-6.292358639869742
AAVEUSDT,9,2,7,22.22222222222222,31.28103123852933,1.6485515119492895,63.745005147314174,-10.234288092161535,39.75658863905527,-6.890306577083031
HEMIUSDT,1,1,0,100.0,29.55765786809917,999.0,29.55765786809917,0.0,29.55765786809917,0.0
LINKUSDT,4,2,2,50.0,13.860414083471127,2.4611564186074264,15.553634881357596,-5.0097693939318475,11.673167448630593,-4.74296040689503
PEPEUSDT,4,1,3,25.0,12.76569439001753,1.7099731478767528,30.746225665312437,-8.1868671390325,30.746225665312437,-5.993510425098303
ETHUSDT,4,2,2,50.0,10.275567079048507,1.57935029270213,23.66992866762814,-14.58140471795636,14.00596502530771,-8.868181485783456
LTCUSDT,5,1,4,20.0,4.378618210013492,1.3418076206082619,17.18880132477713,-6.465419727373927,17.18880132477713,-3.2025457786909097
USD1USDT,4,0,4,0.0,-0.5257622998238105,0.0,0.0,-0.18459864601008036,0.0,-0.13144057495595263
ENSOUSDT,1,0,1,0.0,-2.249923595297041,0.0,0.0,-2.249923595297041,0.0,-2.249923595297041
PENGUUSDT,1,0,1,0.0,-2.4074954837379607,0.0,0.0,-2.4074954837379607,0.0,-2.4074954837379607
XPLUSDT,1,0,1,0.0,-5.54580419166831,0.0,0.0,-5.54580419166831,0.0,-5.54580419166831
TRUMPUSDT,1,0,1,0.0,-8.671586241666674,0.0,0.0,-8.671586241666674,0.0,-8.671586241666674
SAHARAUSDT,1,0,1,0.0,-12.270133873581841,0.0,0.0,-12.270133873581841,0.0,-12.270133873581841
SOLUSDT,8,2,6,25.0,-12.441146122803438,0.6861477953967641,17.772200808646204,-10.821397227563281,13.599498201967648,-6.6066904211231225
AVAXUSDT,3,0,3,0.0,-17.242566176707598,0.0,0.0,-8.878245360323106,0.0,-5.747522058902533
ONDOUSDT,2,0,2,0.0,-17.793512754841444,0.0,0.0,-12.635448298566246,0.0,-8.896756377420722
ARBUSDT,6,1,5,16.666666666666664,-37.03894046509493,0.2597728234128303,12.998320576662024,-21.239962742438365,12.998320576662024,-10.007452208351392
TAOUSDT,8,1,7,12.5,-47.88708596853013,0.02048334073358806,1.0013995059222793,-11.777540856172017,1.0013995059222793,-6.984069353493202
NEARUSDT,10,2,8,20.0,-50.60597058076343,0.0465418033932184,1.3499770336014407,-22.973902997434436,1.2351318294158204,-6.634529279949384
FETUSDT,7,0,7,0.0,-59.86954150484307,0.0,0.0,-23.88271553046522,0.0,-8.55279164354901
WLDUSDT,5,0,5,0.0,-86.16633350067391,0.0,0.0,-30.089078542145003,0.0,-17.233266700134784
