,sum_pnl,n_pos,trades,worst_dd,avg_wr
KELT-LONG,559.597502003071,8.0,536.0,72.04149133023469,32.791600293987
KELT-SHORT,506.47841005199535,7.0,466.0,46.823205155373245,34.99024616690282
DON-LONG,280.1308150354489,7.0,192.0,21.770112604134766,33.48498650472335
DON-SHORT,186.90553938124347,6.0,180.0,23.45202157992503,32.52634957348178
