entry_idx,close,rsi14,rsi7,macd_hist,adx14,plus_di,atr_pct,vol_ratio,dist_sma20_pct,dist_sma50_pct,dist_sma200_pct,dist_upper_pct,roc5,roc20,pct_off_high20,pct_off_high250,sym,pnl_pct,pnl_usd,win,entries,days_held,exit_reason_lower,exit_reason_sma,entry_date,exit_date
217,64724.14,54.44233981007637,92.46946363314365,775.8120636854164,45.72679604500939,22.459891256645694,4.282474823149447,1.3437415534469643,8.578029973302614,0.9808038128861218,9.108977523269669,0.9821501471362515,12.123320834600104,4.721434048242235,-0.2709707241910664,,BTCUSDT,-1.1313335882185953,-0.5656667941092977,False,1,2,False,True,2024-07-15,2024-07-17
221,66660.0,77.39538709682705,90.29618562460489,1149.3921163064065,36.88274191833593,32.16496672326844,4.063251682311089,1.1330414146407446,10.363487427262697,4.459347283464932,11.534642601848887,0.6274878026496511,9.641926835971827,9.302555902370813,-1.0773751224289918,,BTCUSDT,-3.193677837908794,-1.596838918954397,False,1,12,False,True,2024-07-19,2024-07-31
309,67074.14,75.48776917572047,76.5480725072264,358.3353213806657,20.3325474544159,34.29156155313716,3.086197921114924,1.9210264824998438,6.296098897415225,10.21458541424396,5.8805395195609345,0.13482806718545515,11.185403270442663,6.210617840984001,-1.2889771891096413,-9.085297585968533,BTCUSDT,38.125526705960326,57.18829005894048,True,3,73,False,True,2024-10-15,2024-12-27
403,104077.48,61.067453478937104,93.48871644767378,760.6765226728838,8.786514952818965,27.314563501789287,3.6234530000424434,1.6805385510493769,7.697478735596852,6.363273983192452,39.88661196507588,1.356868908516673,10.082409382362222,9.210367261280172,-1.688694360621934,-3.9459175103596644,BTCUSDT,-6.26781694600804,-3.13390847300402,False,1,16,False,True,2025-01-17,2025-02-02
498,93442.99,79.50618764828005,95.59608540925267,1039.6365467099536,24.043648293938396,33.38761108696192,3.6348908722695152,1.5083771230365106,11.764293203260156,10.938705194737386,5.713737983436307,4.74455732606176,10.000340208487767,13.241870181027293,-0.4739796353101511,-14.732461583385037,BTCUSDT,1.4456452305165233,2.168467845774785,True,3,59,False,True,2025-04-22,2025-06-20
577,116010.0,73.24140654651394,77.91607650263734,644.33879466527,19.848926420207228,38.32984703571391,2.0674991072198203,1.873726214393552,7.787541139991649,8.55352664357465,19.971726073756525,2.7891880487627363,7.219977574471725,12.306154263020996,-0.7341616182359623,-0.7341616182359623,BTCUSDT,-2.4842282259411945,-1.2421141129705973,False,1,22,True,False,2025-07-10,2025-08-01
611,123306.43,62.928326363177526,85.99296951435973,525.4682291671054,31.789279243613212,31.380237721517585,2.2534440649781415,1.5216632104105878,5.3528792235031375,7.488482525390205,23.339602124321512,1.1695065172521835,5.683912387548484,4.195874988032444,-0.2922021975164224,-0.2922021975164224,BTCUSDT,-8.598688583370091,-4.2993442916850455,False,1,6,False,True,2025-08-13,2025-08-19
641,116029.42,79.73935767508166,86.5210205205988,793.7360698110639,31.009896381487653,30.514414271048924,1.9729048029370466,1.0340990075137484,4.126658926214266,1.2806155076618975,13.53640760107162,0.3051188574458408,4.401832903324854,0.5122834282110578,-0.5453277027690162,-6.7842119639442755,BTCUSDT,-3.057279023559815,-1.5286395117799074,False,1,10,False,True,2025-09-12,2025-09-22
661,120529.35,57.55268798780318,97.7588865316234,684.0914557612634,32.15638042233678,34.263867451816495,2.062994259430232,1.5738586254224447,5.299091569625225,6.163981849967581,14.67469584405372,0.8614409549865254,9.936074741975375,3.8782663914031623,-0.40713235197513686,-3.1690553850603265,BTCUSDT,-6.574289427715129,-3.2871447138575647,False,1,8,False,True,2025-10-02,2025-10-10
352,3653.28,66.49165015567507,82.98108129502103,19.958932904296717,50.60009071539569,29.110153332517882,5.434607491663067,1.1054446863255525,13.020962961943194,29.23046098876332,22.93974971984387,2.1973760152545596,9.781295638533805,26.172262188867457,-0.8586346514985355,-8.139803872265517,ETHUSDT,-9.720936478637574,-14.58140471795636,False,3,22,True,False,2024-11-27,2024-12-19
