Chiến Lược,Vốn Cực Đại,Tổng PnL ($),ROI (%),Số Lệnh,Winrate (%),Lãi TB ($),Lỗ TB ($),Tỷ Lệ R:R,Profit Factor,Max Drawdown ($)
Pyramid 3 (3 lần x $50 = $150),1500.0,1127.7205339772922,75.18136893181948,208,18.269230769230766,64.27068607088582,-7.732738451272756,8.311503935621577,1.857865585609529,-1681.8227480047544
Pyramid 0 (Vào 1 lần $150),1500.0,861.4984031701292,57.43322687800861,208,20.673076923076923,86.47689362753616,-17.315200138266214,4.994276296952763,1.3015386713270836,-1997.1023883421392
