strategy,symbol,direction,entry_time,exit_time,entry_px,exit_px,reason,atr_pct,notional,gross_usd,funding_usd,fee_usd,net_usd,equity_after
DON,DASHUSDT,1,1788552000000,1789093220912,62.54,54.69,SL_REALTIME,5.318,141.04,-17.7,-0.02,0.14,-17.86,1982.14
DON,ZENUSDT,1,1788552000000,1789093220912,7.137,6.525,SL_REALTIME,4.852,154.58,-13.25,-0.03,0.15,-13.44,1968.7
DON,BNBUSDT,1,1788580800000,1789093220912,738.76,712.62,SL_REALTIME,1.599,468.9,-16.59,-0.01,0.47,-17.07,1951.63
