entry_time,exit_time,qty,net_pnl
1635854400000,1636012800000,0.00079,-0.9109452949000032
1636329600000,1636718400000,0.00079,0.30362853877500046
1636416000000,1636718400000,0.0007400000000000001,-2.864606050550004
1636934400000,1636992000000,0.00076,-1.0095121438999979
1644249600000,1644624000000,0.0011400000000000002,-1.7402293685999928
1644897600000,1645099200000,0.0011400000000000002,-0.5343736889999967
1644969600000,1645099200000,0.0011200000000000001,-1.6201714759999952
1646798400000,1646884800000,0.0012100000000000001,-0.6179708037250039
1647633600000,1648742400000,0.00118,5.126778579799999
1647950400000,1648742400000,0.00116,3.9483295752999967
1648137600000,1648742400000,0.0011300000000000001,2.6961456960249977
1654488000000,1654574400000,0.00159,-2.7554556105000017
1657872000000,1657958400000,0.00239,-0.7653644463000018
1657915200000,1657958400000,0.00236,-1.536251493099996
1658131200000,1658577600000,0.0022400000000000002,-0.10977603280000327
1658246400000,1658577600000,0.00216,-2.0132257158000053
1658332800000,1658577600000,0.00206,-4.072954111400001
1658966400000,1659312000000,0.00217,0.6669755345749984
1659024000000,1659312000000,0.0021000000000000003,-1.022223630749996
1659945600000,1660060800000,0.0021000000000000003,-1.6121529847499978
1662984000000,1663084800000,0.0022400000000000002,-3.396192811199999
1663012800000,1663084800000,0.00222,-3.6206502032999994
1664251200000,1664294400000,0.00248,-0.5983002852000051
1664870400000,1665158400000,0.0025,-1.0500219312499963
1665720000000,1665734400000,0.00252,-0.5146956044999945
1666080000000,1666108800000,0.00254,-0.8115839623000042
1666555200000,1666584000000,0.00256,-0.35220291199999965
1666713600000,1667376000000,0.00253,1.6268719972999997
1667592000000,1667808000000,0.00236,-1.1912046428000056
1670529600000,1670817600000,0.00289,-1.035364196675003
1670932800000,1671192000000,0.00286,-1.2672189744499989
1671033600000,1671192000000,0.0027600000000000003,-2.928516464400005
1673222400000,1675108800000,0.0029100000000000003,16.374847854074996
1673380800000,1675108800000,0.00286,15.220481612050007
1673481600000,1675108800000,0.0027800000000000004,13.374729869800008
1678723200000,1679515200000,0.0020800000000000003,5.5101115887999965
1678809600000,1679515200000,0.00193,1.4179852771750021
1679040000000,1679515200000,0.0019100000000000002,1.0871401937249994
1680091200000,1680249600000,0.00176,-1.1573572736000008
1681084800000,1681718400000,0.00176,2.5888164808000016
1681142400000,1681718400000,0.00175,2.371603031875
