market,symbol,base_asset,setup,validation_status,in_fixed_research_cohort,narratives,quote_volume_24h,asof_utc,status,signal,eligible,side,signal_candle_open_utc,signal_candle_close_utc,model_next_open_utc,signal_age_seconds,execution_interval,close,atr,daily_liquidity,htf_close,htf_ema50,htf_ema200,trend,daily_roc20,btc_roc20,reason,sleeve_equity_usdt,sleeve_drawdown_pct,risk_budget_usdt,available_sleeve_risk_usdt,account_state,quantity,quantity_text,size_status,reference_entry,reference_stop,reference_target,reference_notional_usdt,reference_margin_usdt,estimated_initial_risk_usdt,capacity_reserved
futures,BTCUSDT,BTC,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,True,,4776359115.67,2026-09-06T23:43:18+00:00,WATCH,0,True,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2599.867,1h,80005.4,247.96828001284717,9401390695.20605,79804.7,78919.08440956271,73543.34452126878,1,0.269128125198804,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False
futures,ETHUSDT,ETH,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,True,,5916755358.82,2026-09-06T23:43:18+00:00,WATCH,0,True,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2599.867,1h,2506.97,13.70821957114454,7862909209.931734,2489.64,2455.36215508842,2257.800933036727,1,0.3220688772517357,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False
spot,BTCUSDT,BTC,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,True,,701389988.1730253,2026-09-06T23:43:14+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13399.867,4h,79829.99,672.4544307896167,958849581.828023,79831.75,71422.88357722053,72602.28042903874,0,0.2691852146263911,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False
futures,ZECUSDT,ZEC,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,3968473212.52,2026-09-06T23:43:18+00:00,WATCH,0,True,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2599.867,1h,1229.45,31.424053792983926,956499810.71268,1213.91,945.0729755367533,740.5320397833646,1,1.1098308711575657,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False
spot,ETHUSDT,ETH,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,True,,535671044.936128,2026-09-06T23:43:14+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13399.867,4h,2490.42,30.60950586991506,633688009.0596015,2480.34,2166.328149252712,2176.5474660568943,0,0.3221428571428573,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False
spot,ZECUSDT,ZEC,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,420590605.01511,2026-09-06T23:43:14+00:00,WATCH,0,True,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13399.867,4h,1214.69,48.481961981036186,132984914.37658,1025.95,669.0609408100888,491.78619366447236,1,1.1092722039473686,0.2691852146263911,Filters pass; no trigger on latest closed candle,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False
