strategy,symbol,market,status,signal,direction,quote_volume_24h,model_entry_utc,signal_age_seconds,reference_close,atr_sma14,atr_pct,funding_known_at_signal_open,reference_stop,reference_stop_distance,scope,note,research_gate,reason
DON55,1000SHIBUSDT,futures,FILTERED_OUT,0,NONE,30904074.958502,2026-09-07T04:00:00+00:00,1784.344,0.005452,9.807142857142863e-05,1.7988156377738194,0.0001,,0.00019614285714285727,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,CFGUSDT,futures,EXPIRED_SIGNAL,1,LONG,28904820.6929,2026-09-07T04:00:00+00:00,1784.344,0.1319,0.00472142857142857,3.5795516083613115,5e-05,,0.00944285714285714,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,IOSTUSDT,futures,WATCH,0,NONE,28316203.38588004,2026-09-07T04:00:00+00:00,1784.344,0.000743,3.74142857142857e-05,5.035570082676406,0.0001,,7.48285714285714e-05,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,龙虾USDT,futures,WATCH,0,NONE,27566778.723614,2026-09-07T04:00:00+00:00,1784.344,0.07021,0.007776857142857143,11.076566219708223,5e-05,,0.015553714285714285,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,GRTUSDT,futures,WATCH,0,NONE,26563430.63361,2026-09-07T04:00:00+00:00,1784.344,0.01903,0.000707857142857144,3.719690713910373,0.0001,,0.001415714285714288,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,CAKEUSDT,futures,WATCH,0,NONE,26263115.4782,2026-09-07T04:00:00+00:00,1784.344,2.187,0.07061428571428571,3.228819648572735,5e-05,,0.14122857142857143,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,NAORISUSDT,futures,WATCH,0,NONE,24884688.21919,2026-09-07T04:00:00+00:00,1784.344,0.0383,0.0032349999999999996,8.446475195822453,0.00038198,,0.006469999999999999,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,ATOMUSDT,futures,WATCH,0,NONE,24596570.922,2026-09-07T04:00:00+00:00,1784.344,1.582,0.02864285714285716,1.810547227740655,2.679e-05,,0.05728571428571432,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,TUTUSDT,futures,FILTERED_OUT,0,NONE,24258718.70951,2026-09-07T04:00:00+00:00,1784.344,0.02471,0.0020100000000000005,8.13435855928774,-0.00036507,,0.004020000000000001,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,PENDLEUSDT,futures,WATCH,0,NONE,24065627.9269,2026-09-07T04:00:00+00:00,1784.344,2.051,0.060471428571428544,2.9483875461447364,0.0001,,0.12094285714285709,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,GIGGLEUSDT,futures,FILTERED_OUT,0,NONE,23211246.3256,2026-09-07T04:00:00+00:00,1784.344,38.34,1.7428571428571438,4.545793278187647,5e-05,,3.4857142857142875,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,TRXUSDT,futures,FILTERED_OUT,0,NONE,22712882.60177,2026-09-07T04:00:00+00:00,1784.344,0.33548,0.0012985714285714306,0.38707864211620086,-1.455e-05,,0.0025971428571428612,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,CHIPUSDT,futures,FILTERED_OUT,0,NONE,21601187.43299,2026-09-07T04:00:00+00:00,1784.344,0.05701,0.003077142857142857,5.397549302127446,5e-05,,0.006154285714285714,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,BTWUSDT,futures,FILTERED_OUT,0,NONE,21544101.36651,2026-09-07T04:00:00+00:00,1784.344,0.44364,0.027002142857142853,6.086498705514122,0.00038544,,0.054004285714285706,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,ETCUSDT,futures,WATCH,0,NONE,20354102.147,2026-09-07T04:00:00+00:00,1784.344,7.776,0.15007142857142844,1.929930922986477,0.0001,,0.3001428571428569,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,WIFUSDT,futures,FILTERED_OUT,0,NONE,20333121.24064,2026-09-07T04:00:00+00:00,1784.344,0.2138,0.006135714285714282,2.869838300146998,5e-05,,0.012271428571428563,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,EDGEUSDT,futures,WATCH,0,NONE,19951746.19,2026-09-07T04:00:00+00:00,1784.344,0.5798,0.040335714285714294,6.9568324052629,0.00025739,,0.08067142857142859,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
DON55,FIDAUSDT,futures,WATCH,0,NONE,19750985.04722,2026-09-07T04:00:00+00:00,1784.344,0.0208,0.0007392857142857139,3.55425824175824,5e-05,,0.0014785714285714278,EXPANDED_UNVALIDATED,"Entry filters only; account position, pyramid profit and portfolio capacity must be checked separately.",PAPER_CANDIDATE,
