open_time,open,high,low,close,volume,quote_vol,close_time,upper,lower,sma50,sma100,sma150,sma200,entry,exit
1632902400000,2927.06,2949.51,2894.84,2933.75,54004.3632,157756347.984,1632916799999,,,,,,,False,False
1632916800000,2933.75,2950.0,2850.0,2861.19,84435.4792,245372407.054,1632931199999,,,,,,,False,False
1632931200000,2861.2,2872.36,2803.12,2810.16,72982.1105,206644498.619,1632945599999,,,,,,,False,False
1632945600000,2810.15,2854.0,2782.0,2850.45,63501.0283,178916343.408,1632959999999,,,,,,,False,False
1632960000000,2850.45,3035.71,2837.19,3027.46,128442.081,379858461.267,1632974399999,,,,,,,False,False
1632974400000,3027.45,3048.42,2995.14,3001.59,82556.2008,249512250.388,1632988799999,,,,,,,False,False
1632988800000,3001.6,3012.0,2941.93,2963.35,83284.4501,247886003.758,1633003199999,,,,,,,False,False
1633003200000,2963.36,3031.1,2954.23,2985.67,86453.5511,258661515.984,1633017599999,,,,,,,False,False
1633017600000,2985.67,3048.0,2964.47,2992.23,71382.5611,214548231.968,1633031999999,,,,,,,False,False
1633032000000,2992.23,3021.46,2955.7,3000.61,54777.9171,163875473.942,1633046399999,,,,,,,False,False
1633046400000,3000.62,3041.42,2969.07,3002.98,62010.6399,186595333.913,1633060799999,,,,,,,False,False
1633060800000,3002.98,3097.0,2990.0,3091.46,78368.7823,238407497.289,1633075199999,,,,,,,False,False
1633075200000,3091.46,3247.88,3091.45,3235.49,207614.2929,658452591.476,1633089599999,,,,,,,False,False
1633089600000,3235.48,3278.4,3176.42,3235.7,137790.1504,444502492.089,1633103999999,,,,,,,False,False
1633104000000,3235.7,3319.15,3223.99,3297.65,98603.1356,322885277.213,1633118399999,,,,,,,False,False
1633118400000,3297.64,3330.0,3270.58,3309.91,64327.614,212269088.688,1633132799999,,,,,,,False,False
1633132800000,3309.91,3344.0,3261.89,3267.31,70492.1978,232438485.371,1633147199999,,,,,,,False,False
1633147200000,3267.03,3300.01,3257.0,3279.9,43204.4357,141706296.056,1633161599999,,,,,,,False,False
1633161600000,3279.9,3319.0,3265.0,3296.54,40764.8926,134001766.539,1633175999999,,,,,,,False,False
1633176000000,3296.54,3398.59,3288.87,3386.54,106357.204,355337956.364,1633190399999,3377.6759442596976,2783.7693601065857,,,,,False,False
1633190400000,3386.55,3467.37,3370.65,3467.35,88856.2606,304395569.016,1633204799999,3419.3466896872337,2790.8433857401897,,,,,False,False
1633204800000,3467.36,3469.0,3366.2,3387.76,72876.1904,249175542.471,1633219199999,3455.061863755767,2809.7366246569054,,,,,False,False
1633219200000,3387.77,3424.39,3342.51,3404.97,82837.8831,280625154.421,1633233599999,3473.089127584679,2843.078979421213,,,,,False,False
1633233600000,3404.96,3425.62,3388.77,3393.07,35528.9365,121020508.142,1633247999999,3482.0952273164967,2884.9491512856152,,,,,False,False
1633248000000,3393.08,3421.95,3369.6,3413.9,42532.2088,144420136.334,1633262399999,3498.997397052068,2924.646330796925,,,,,False,False
1633262400000,3413.9,3446.95,3393.36,3404.75,53188.3909,181923340.769,1633276799999,3516.2721376994123,2942.3731966251075,,,,,False,False
1633276800000,3404.75,3488.0,3400.0,3467.43,81091.3488,280017005.848,1633291199999,3532.4813721955948,2972.0914073448125,,,,,False,False
1633291200000,3467.46,3473.44,3384.07,3417.73,65408.1224,223530022.801,1633305599999,3542.7832053310626,3005.122506610441,,,,,False,False
1633305600000,3417.73,3426.49,3322.95,3335.31,72796.1247,245187029.374,1633319999999,3543.890006762244,3041.5171988790757,,,,,False,False
1633320000000,3335.31,3381.81,3322.11,3378.24,48994.0844,164164088.298,1633334399999,3531.3608545187967,3085.5251382537926,,,,,False,False
1633334400000,3378.24,3385.36,3294.38,3313.39,61590.9465,205512936.02,1633348799999,3511.75162172805,3133.658408614024,,,,,False,False
1633348800000,3313.39,3425.0,3270.0,3322.51,130330.7763,435656219.485,1633363199999,3491.8469550911627,3186.068944229451,,,,,False,False
1633363200000,3322.46,3437.19,3310.0,3415.84,114076.049,386440350.805,1633377599999,3490.2332212087836,3222.412818905603,,,,,False,False
1633377600000,3415.8,3422.67,3355.0,3386.31,57416.6611,194601637.573,1633391999999,3487.946287252669,3243.747072908603,,,,,False,False
1633392000000,3386.31,3417.99,3363.78,3387.96,57513.6565,195109236.961,1633406399999,3487.4341908695897,3257.4766118806983,,,,,False,False
1633406400000,3387.96,3404.55,3365.09,3389.0,36023.3593,121961161.458,1633420799999,3486.126744683093,3264.3444116511705,,,,,False,False
1633420800000,3389.0,3473.89,3381.36,3445.02,90951.7729,312039556.971,1633435199999,3490.9263325338115,3273.434995575635,,,,,False,False
1633435200000,3445.02,3468.89,3413.48,3418.35,72010.476,247770424.931,1633449599999,3487.5261168353377,3283.719611561141,,,,,False,False
1633449600000,3418.67,3495.86,3407.14,3490.55,61708.9593,212878494.922,1633463999999,3486.7967066136434,3294.872406081173,,,,,False,False
1633464000000,3490.54,3545.0,3489.09,3515.27,75692.6578,266147014.368,1633478399999,3503.4358519466186,3295.079007878422,,,,,False,False
1633478400000,3515.48,3538.7,3472.72,3486.63,53829.4285,188418921.398,1633492799999,3514.273731188942,3291.915810855586,,,,,False,False
1633492800000,3486.63,3501.09,3439.91,3456.12,61564.5393,213882116.405,1633507199999,3517.808216787687,3292.435973518276,,,,,False,False
1633507200000,3456.13,3459.34,3342.0,3381.22,115651.1353,391327385.446,1633521599999,3519.0152268941433,3292.388041068168,,,,,False,False
1633521600000,3381.22,3632.11,3372.59,3613.01,239042.0563,847729024.852,1633535999999,3550.7688675257655,3291.7313809597736,,,,,False,False
1633536000000,3613.01,3622.92,3560.0,3587.58,81448.7703,292113980.344,1633550399999,3573.9284500260214,3281.043612222914,,,,,False,False
1633550400000,3587.59,3609.25,3547.56,3574.89,66729.6105,239048268.118,1633564799999,3590.9440859194,3275.3897524913973,,,,,False,False
