open_time,open,high,low,close,volume,quote_vol,close_time,upper,lower,sma50,sma100,sma150,sma200,entry,exit
1609459200000,1.5043,1.6,1.489,1.5934,1785273.0,2790874.9605,1609473599999,,,,,,,False,False
1609473600000,1.5932,1.625,1.5801,1.6147,1988590.0,3191631.9214000003,1609487999999,,,,,,,False,False
1609488000000,1.6145,1.633,1.555,1.6244,2527882.0,4051070.2199,1609502399999,,,,,,,False,False
1609502400000,1.6243,1.6491,1.5814,1.6374,2465438.0,3987134.7410999998,1609516799999,,,,,,,False,False
1609516800000,1.6375,1.8204,1.6039,1.7235,6587443.0,11281248.368199999,1609531199999,,,,,,,False,False
1609531200000,1.7223,1.8498,1.7112,1.8382,3458815.0,6148011.7991,1609545599999,,,,,,,False,False
1609545600000,1.8377,1.8983,1.7091,1.8603,5586742.0,10073742.8317,1609559999999,,,,,,,False,False
1609560000000,1.8598,1.8608,1.7456,1.7501,2326840.0,4183276.6566000003,1609574399999,,,,,,,False,False
1609574400000,1.75,1.7906,1.7139,1.7629,2460535.0,4316486.4733,1609588799999,,,,,,,False,False
1609588800000,1.7641,1.8396,1.7138,1.7767,3440974.0,6124264.4741,1609603199999,,,,,,,False,False
1609603200000,1.7777,1.9951,1.7471,1.9124,5279353.0,9966884.2826,1609617599999,,,,,,,False,False
1609617600000,1.9112,1.9144,1.7543,1.7976,3307102.0,5991366.9969,1609631999999,,,,,,,False,False
1609632000000,1.7978,1.95,1.7956,1.9396,3645450.0,6811102.455,1609646399999,,,,,,,False,False
1609646400000,1.9404,2.0979,1.9046,2.0592,4713847.0,9427678.0253,1609660799999,,,,,,,False,False
1609660800000,2.0574,2.3589,2.0565,2.2602,7700117.0,17070524.8961,1609675199999,,,,,,,False,False
1609675200000,2.259,2.3261,1.939,2.06,10949640.0,22866086.047199998,1609689599999,,,,,,,False,False
1609689600000,2.0614,2.0986,1.885,1.9542,5795810.0,11489340.9261,1609703999999,,,,,,,False,False
1609704000000,1.9542,2.1842,1.9376,2.1767,4942187.0,10158806.599100001,1609718399999,,,,,,,False,False
1609718400000,2.1783,2.3999,2.0968,2.3076,7459247.0,16844560.0977,1609732799999,,,,,,,False,False
1609732800000,2.3072,2.3606,2.0619,2.1087,5358073.0,12020137.4172,1609747199999,2.3410187227205226,1.519189984463984,,,,,False,False
1609747200000,2.11,2.2,1.8182,2.0433,6949935.0,13992506.9765,1609761599999,2.3569106935907285,1.5554582118302944,,,,,False,False
1609761600000,2.0433,2.329,2.0137,2.2718,4188410.0,9063831.2529,1609775999999,2.3848165355271598,1.579070187547315,,,,,False,False
1609776000000,2.2695,2.43,2.116,2.423,4841842.0,10879687.6739,1609790399999,2.4205642184303473,1.6059925348067567,,,,,False,False
1609790400000,2.423,2.49,2.0493,2.4832,7169337.0,16577274.4718,1609804799999,2.4574412116060333,1.6387233007527018,,,,,False,False
1609804800000,2.4803,2.5012,2.1211,2.157,6745699.0,16008417.3765,1609819199999,2.49890607572587,1.6694646392610086,,,,,False,False
1609819200000,2.1566,2.2615,2.0527,2.1672,5532204.0,11976363.7215,1609833599999,2.506419046498444,1.69017138848552,,,,,False,False
1609833600000,2.1668,2.3922,2.1566,2.3778,4020573.0,9136502.7425,1609847999999,2.525969875534196,1.7102679361642175,,,,,False,False
1609848000000,2.3778,2.399,2.1368,2.168,5275368.0,11917090.6004,1609862399999,2.539573742292116,1.730329199258252,,,,,False,False
1609862400000,2.1648,2.2982,2.1313,2.2135,6438958.0,14324024.7477,1609876799999,2.530625877662379,1.760077382738259,,,,,False,False
1609876800000,2.2132,2.2467,2.073,2.1355,4968775.0,10759874.0932,1609891199999,2.5158674088535085,1.7957328711112353,,,,,False,False
1609891200000,2.1385,2.1448,1.9001,1.9392,6846055.0,13728377.044599999,1609905599999,2.510054056900538,1.819120520099843,,,,,False,False
1609905600000,1.9389,2.0384,1.9094,2.0062,6640315.0,13126201.3295,1609919999999,2.49846412961216,1.8443106472940314,,,,,False,False
1609920000000,2.0084,2.1,1.9354,2.0324,6603132.0,13272256.879,1609934399999,2.4858359595370825,1.8659851944343013,,,,,False,False
1609934400000,2.0322,2.1578,1.9939,2.048,7475156.0,15533697.9292,1609948799999,2.483566684831093,1.8750968119779803,,,,,False,False
1609948800000,2.0499,2.05,1.73,1.7542,11025507.0,21095528.7469,1609963199999,2.4806741868578657,1.8313554021049974,,,,,False,True
1609963200000,1.7536,1.95,1.6734,1.8753,13629501.0,24677546.5991,1609977599999,2.4853056617850053,1.7876656852124821,,,,,False,False
1609977600000,1.8722,2.4226,1.8123,2.1123,18743424.0,39535714.487900004,1609991999999,2.501645212150839,1.7784719163632736,,,,,False,False
1609992000000,2.1128,2.2,2.0327,2.0439,6419816.0,13556299.1353,1610006399999,2.5018560325767027,1.7833921013297376,,,,,False,False
1610006400000,2.0437,2.3056,1.8635,2.215,34336732.0,71850157.687,1610020799999,2.493172673999845,1.771126998738205,,,,,False,False
1610020800000,2.2151,2.733,2.2075,2.4011,28415652.0,69377785.1753,1610035199999,2.5572742932845056,1.7667600083253634,,,,,False,False
1610035200000,2.4047,2.4782,2.151,2.3648,12130641.0,28193030.0642,1610049599999,2.5767819690429117,1.7851228845031788,,,,,False,False
1610049600000,2.364,2.4231,2.3174,2.3651,5538017.0,13145904.8057,1610063999999,2.584390150019816,1.777226936756834,,,,,False,False
1610064000000,2.365,2.4213,2.18,2.263,7758247.0,17678841.9771,1610078399999,2.5835237865677785,1.7766250884594326,,,,,False,False
1610078400000,2.2627,2.4525,2.2057,2.4178,4877355.0,11168506.3508,1610092799999,2.5790789964191276,1.7772035052726038,,,,,False,False
1610092800000,2.4179,3.5346,2.3386,3.1504,22172133.0,65537766.8932,1610107199999,2.8401145224741864,1.769785709970686,,,,,False,False
1610107200000,3.1523,3.848,3.0711,3.3143,20674107.0,72558189.2375,1610121599999,3.120443613957299,1.6587926098324377,,,,,False,False
1610121600000,3.3142,3.5401,3.2,3.2061,8001425.0,26783147.4148,1610135999999,3.2670051179574093,1.578754944127616,,,,,False,False
1610136000000,3.2061,3.2547,3.0043,3.222,6630320.0,20743012.6525,1610150399999,3.348136277767272,1.5558664956452608,,,,,False,False
1610150400000,3.222,3.2764,3.0452,3.1683,4344756.0,13718463.0748,1610164799999,3.4277905342353114,1.5425561949067506,,,,,False,False
