open_time,open,high,low,close,volume,quote_vol,close_time,upper,lower,sma50,sma100,sma150,sma200,entry,exit
1609459200000,37.4,37.47,37.03,37.425,59137.1,2202399.93271,1609462799999,,,,,,,False,False
1609462800000,37.426,38.0,37.375,37.682,134949.83,5092773.94938,1609466399999,,,,,,,False,False
1609466400000,37.687,38.051,37.659,38.04,56866.61,2150993.15844,1609469999999,,,,,,,False,False
1609470000000,38.041,38.207,37.813,37.995,108494.57,4125280.37296,1609473599999,,,,,,,False,False
1609473600000,37.994,38.145,37.88,37.946,58862.71,2236735.34766,1609477199999,,,,,,,False,False
1609477200000,37.949,37.99,37.71,37.77,60627.2,2292207.52158,1609480799999,,,,,,,False,False
1609480800000,37.77,37.871,37.5,37.666,75169.32,2830624.50879,1609484399999,,,,,,,False,False
1609484400000,37.667,37.711,37.38,37.694,72323.78,2715040.63497,1609487999999,,,,,,,False,False
1609488000000,37.694,37.76,37.38,37.485,59646.02,2239394.79253,1609491599999,,,,,,,False,False
1609491600000,37.486,38.051,37.456,38.024,88000.78,3323274.46436,1609495199999,,,,,,,False,False
1609495200000,38.026,38.901,37.968,38.891,304668.58,11737398.0424,1609498799999,,,,,,,False,False
1609498800000,38.891,39.082,38.464,38.475,168397.83,6531472.74189,1609502399999,,,,,,,False,False
1609502400000,38.493,38.98,38.358,38.403,150193.18,5807532.86587,1609505999999,,,,,,,False,False
1609506000000,38.398,38.675,38.356,38.405,75490.32,2904754.2014,1609509599999,,,,,,,False,False
1609509600000,38.402,38.585,38.106,38.158,96858.85,3713053.99367,1609513199999,,,,,,,False,False
1609513200000,38.157,38.399,37.9,38.17,128576.55,4907693.52528,1609516799999,,,,,,,False,False
1609516800000,38.171,38.389,38.092,38.24,125468.27,4796813.61268,1609520399999,,,,,,,False,False
1609520400000,38.235,38.307,37.533,37.872,168624.34,6396155.35906,1609523999999,,,,,,,False,False
1609524000000,37.866,38.09,37.0,37.632,309854.63,11650361.3022,1609527599999,,,,,,,False,False
1609527600000,37.633,37.705,37.4,37.41,66548.83,2498242.62354,1609531199999,38.871777143837605,37.10094185849306,,,,,False,False
1609531200000,37.427,37.556,37.17,37.458,63007.84,2355953.63925,1609534799999,38.865513017662806,37.124014559244564,,,,,False,False
1609534800000,37.45,37.48,37.255,37.275,35009.72,1308801.41599,1609538399999,38.880932027588415,37.108940576664864,,,,,False,False
1609538400000,37.277,37.68,37.24,37.6,53878.71,2020499.71457,1609541999999,38.88174950785287,37.068294426880556,,,,,False,False
1609542000000,37.602,37.968,37.544,37.795,92967.67,3506834.06378,1609545599999,38.87303002014418,37.05422843100279,,,,,False,False
1609545600000,37.795,37.823,36.79,36.994,200530.24,7449839.81228,1609549199999,38.865802699900584,36.939864784656706,,,,,False,False
1609549200000,36.995,37.307,36.794,37.279,127798.97,4733879.01454,1609552799999,38.881915040980395,36.842928721557136,,,,,False,False
1609552800000,37.274,37.38,37.228,37.24,46417.28,1731754.06351,1609556399999,38.891111026232366,36.82056829656386,,,,,False,False
1609556400000,37.24,37.625,37.195,37.591,64143.29,2399492.66428,1609559999999,38.89189213998957,36.80362861149542,,,,,False,False
1609560000000,37.588,37.588,37.41,37.465,32651.41,1223053.5314,1609563599999,38.89306360140577,36.80587361225897,,,,,False,False
1609563600000,37.467,37.819,37.41,37.707,69283.11,2606013.46064,1609567199999,38.88586572025149,36.80269371044564,,,,,False,False
1609567200000,37.712,37.717,37.456,37.529,56204.53,2111191.58122,1609570799999,38.78121971296555,36.789672473591395,,,,,False,False
1609570800000,37.53,37.588,37.378,37.389,22460.76,841846.38607,1609574399999,38.62275653677851,36.80647507693448,,,,,False,False
1609574400000,37.389,37.438,37.089,37.188,74307.85,2766761.28557,1609577999999,38.46140795219405,36.80388562333442,,,,,False,False
1609578000000,37.181,37.297,36.993,37.059,50140.13,1862251.54304,1609581599999,38.348811610360684,36.81347245065242,,,,,False,False
1609581600000,37.054,37.499,37.0,37.229,72579.35,2703448.9348,1609585199999,38.22938363949196,36.814953704467214,,,,,False,False
1609585200000,37.23,37.398,37.223,37.345,18545.06,692243.36001,1609588799999,38.134006628025816,36.82873004393996,,,,,False,False
1609588800000,37.349,37.958,36.881,37.93,194124.53,7254789.49915,1609592399999,38.054897935708915,36.85881969178444,,,,,False,False
1609592400000,37.94,38.3,37.655,38.184,200272.8,7626628.34208,1609595999999,38.05326077511011,36.849494271391364,,,,,False,False
1609596000000,38.191,38.211,37.735,38.045,127518.96,4838860.11553,1609599599999,38.075842893428515,36.854331705547956,,,,,False,False
1609599600000,38.045,38.25,37.968,38.189,83252.7,3174386.03953,1609603199999,38.145429012473194,36.81776082361974,,,,,False,False
1609603200000,38.193,38.5,38.0,38.493,216935.98,8283681.70993,1609606799999,38.26053558959303,36.8023231913491,,,,,False,False
1609606800000,38.499,39.06,38.43,38.585,301326.87,11672438.9635,1609610399999,38.48627011757287,36.74452649559183,,,,,False,False
1609610400000,38.579,38.59,38.13,38.162,173964.85,6668644.26859,1609613999999,38.57523143431907,36.744004278533986,,,,,False,False
1609614000000,38.182,38.312,38.019,38.118,100206.12,3823701.52856,1609617599999,38.6067751031916,36.74013504593635,,,,,False,False
1609617600000,38.124,38.17,37.313,37.47,230736.4,8727214.26262,1609621199999,38.62975702757446,36.800872301446454,,,,,False,False
1609621200000,37.46,38.04,37.2,37.969,194547.0,7349127.36693,1609624799999,38.63814130173596,36.85492055176168,,,,,False,False
1609624800000,37.969,38.188,37.926,38.138,55526.3,2114359.08333,1609628399999,38.65571509271135,36.8806862395986,,,,,False,False
1609628400000,38.139,38.39,37.937,38.271,76033.47,2903404.29964,1609631999999,38.69535614008923,36.91428650486291,,,,,False,False
1609632000000,38.271,38.455,38.036,38.077,88402.1,3379683.57538,1609635599999,38.736431454097016,36.929403313346945,,,,,False,False
1609635600000,38.081,38.173,37.951,38.021,44745.65,1702742.57858,1609639199999,38.74989426802372,36.949292099191844,37.82356,,,,False,False
1609639200000,38.026,38.198,37.982,38.161,25435.14,968372.46715,1609642799999,38.76331222113473,36.96766441503578,37.83828,,,,False,False
1609642800000,38.161,38.185,38.0,38.014,21467.38,817005.18217,1609646399999,38.76950904282221,36.99554115407409,37.84492,,,,False,False
1609646400000,38.014,38.105,37.888,37.923,36858.0,1399812.88228,1609649999999,38.757086014650085,37.06322600269256,37.842580000000005,,,,False,False
1609650000000,37.923,38.091,37.852,37.911,96616.64,3667127.27214,1609653599999,38.71775851177061,37.154389211344395,37.840900000000005,,,,False,False
1609653600000,37.914,38.31,37.838,38.297,110503.42,4216862.94555,1609657199999,38.69809479507919,37.255292494065515,37.84792,,,,False,False
1609657200000,38.298,38.299,38.07,38.101,85959.62,3280965.56759,1609660799999,38.637439347733356,37.32888320717971,37.85454,,,,False,False
1609660800000,38.101,38.787,38.101,38.659,172253.5,6616099.8942,1609664399999,38.695252187621996,37.504713532579224,37.8744,,,,False,False
1609664400000,38.657,38.834,38.164,38.3,169118.54,6499664.55341,1609667999999,38.75700698192096,37.53085315222761,37.88652,,,,False,False
1609668000000,38.3,38.654,38.217,38.495,164359.09,6316302.9828,1609671599999,38.78706371986104,37.54992727846973,37.90672,,,,False,False
1609671600000,38.504,40.0,38.401,39.975,601678.2,23656902.8363,1609675199999,39.13215285435786,37.545404797762984,37.945739999999994,,,,False,False
1609675200000,39.99,40.908,39.784,40.166,606929.3,24528154.2424,1609678799999,39.62664437877376,37.33139648938289,37.97124,,,,False,False
1609678800000,40.166,40.516,39.6,40.471,451152.6,18119364.8006,1609682399999,39.869092627009394,37.239031381025455,38.01116,,,,False,False
1609682400000,40.469,41.566,40.031,40.585,713055.65,29191990.9157,1609685999999,40.34554199700973,37.135125741930146,38.0548,,,,False,False
1609686000000,40.574,40.787,39.85,40.355,310239.4,12515765.974,1609689599999,40.58769851954734,37.10515133252633,38.093799999999995,,,,False,False
1609689600000,40.349,41.581,40.311,40.418,525376.45,21503795.5432,1609693199999,40.94637505731066,37.139901440957864,38.139,,,,False,False
1609693200000,40.415,41.071,40.317,40.851,253966.31,10336184.0815,1609696799999,41.16629208497366,37.23749977459468,38.19262,,,,False,False
1609696800000,40.85,41.906,40.442,40.706,388762.69,15984794.3488,1609700399999,41.499511644451445,37.262388856565586,38.24194,,,,False,False
1609700400000,40.698,40.832,40.23,40.451,120976.14,4899647.64036,1609703999999,41.63612601336659,37.3276135846392,38.29352,,,,False,False
1609704000000,40.455,41.01,40.446,40.624,150706.63,6137168.15332,1609707599999,41.7784825512059,37.39098237748718,38.35336,,,,False,False
1609707600000,40.628,41.215,40.57,40.826,147465.27,6033115.5207,1609711199999,41.91863179983229,37.481263776275796,38.42168,,,,False,False
