time,equity,adverse_equity,positions,cash
1735693200000,1000.0,1000.0,0,1000.0
1735696800000,1000.0,1000.0,0,1000.0
1735700400000,1000.0,1000.0,0,1000.0
1735704000000,1000.0,1000.0,0,1000.0
1735707600000,1000.0,1000.0,0,1000.0
1735711200000,1000.0,1000.0,0,1000.0
1735714800000,1000.0,1000.0,0,1000.0
1735718400000,1000.0,1000.0,0,1000.0
1735722000000,1000.0,1000.0,0,1000.0
1735725600000,1000.0,1000.0,0,1000.0
1735729200000,1000.0,1000.0,0,1000.0
1735732800000,1000.0,1000.0,0,1000.0
1735736400000,1000.0,1000.0,0,1000.0
1735740000000,1000.0,1000.0,0,1000.0
1735743600000,1000.0,1000.0,0,1000.0
1735747200000,1000.0,1000.0,0,1000.0
1735750800000,1000.0,1000.0,0,1000.0
1735754400000,1000.0,1000.0,0,1000.0
1735758000000,1000.0,1000.0,0,1000.0
1735761600000,1000.0,1000.0,0,1000.0
1735765200000,999.6114598904443,999.1369119554146,1,999.9557454489343
1735768800000,1000.1829806643714,997.9587951254059,1,999.9557454489343
1735772400000,999.6259026536843,998.3322437177554,1,999.9557454489343
1735776000000,999.248327557552,998.2105118561609,1,999.9557454489343
1735779600000,1002.2415783961898,999.0579807277077,1,999.9469647855361
1735783200000,999.9431157891327,999.3984172897942,1,999.9469647855361
1735786800000,1000.7292147597689,999.516022647606,1,999.9469647855361
1735790400000,1001.1666241607528,1000.4032209609223,1,999.9469647855361
1735794000000,999.3282667254855,999.2189143752395,1,999.9469647855361
1735797600000,997.756068784213,997.6013248923556,1,999.9469647855361
1735801200000,997.6900447236872,996.4149550547811,1,999.9469647855361
1735804800000,998.4534479235176,997.3888099475379,1,999.9469647855361
1735808400000,998.5045812888178,998.0878044067483,1,999.9382638459848
1735812000000,999.7115836453065,998.4034819461375,1,999.9382638459848
1735815600000,1000.4667338375712,999.2411622140596,1,999.9382638459848
1735819200000,1000.4378483110911,999.8003034766381,1,999.9382638459848
1735822800000,1000.0293244365873,999.5238277231861,1,999.9382638459848
1735826400000,999.7982402247467,999.433044639963,1,999.9382638459848
1735830000000,999.8683907890555,998.23429529104,1,999.9382638459848
1735833600000,999.461930166443,998.310635611023,1,999.9382638459848
1735837200000,1000.7324108465425,999.2695652555161,1,999.9460343685269
1735840800000,1002.7275754255588,1000.6354380076451,1,999.9460343685269
1735844400000,1001.6257989155332,1001.3059948723611,1,999.9460343685269
1735848000000,1000.2454834001642,1000.2269141331411,1,999.9460343685269
1735851600000,999.6285710846255,999.0426075474584,1,999.9460343685269
1735855200000,999.7482396943286,999.1251376231157,1,999.9460343685269
1735858800000,1001.4070942150413,999.7296704273057,1,999.9460343685269
1735862400000,1000.5529079319878,1000.4910103752447,1,999.9460343685269
1735866000000,1001.5634476674707,1000.0799695575299,1,999.9373276696416
1735869600000,1002.6445916585819,1000.7340204071144,1,999.9373276696416
1735873200000,1004.8543344343074,1002.5517453234673,1,999.9373276696416
1735876800000,1004.9595602807705,1003.544169483247,1,999.9373276696416
1735880400000,1003.3130852714064,1002.8282210769195,1,999.9373276696416
1735884000000,1004.0145909144939,1002.5125435375302,1,999.9373276696416
1735887600000,1005.1246204320852,1003.9877686399052,1,999.9373276696416
1735891200000,1004.352964224689,1003.5029044454183,1,999.9373276696416
1735894800000,1003.2339119887234,1002.864589900157,1,999.9386212107246
1735898400000,1003.8570140599364,1003.1245596384775,1,999.9386212107246
1735902000000,1003.5062612383928,1003.2112162179177,1,999.9386212107246
1735905600000,1003.3927823843638,1003.0998006157803,1,999.9386212107246
1735909200000,1002.2022860430067,1001.8535964733544,1,999.9386212107246
1735912800000,1002.9099814417684,1001.4388828431762,1,999.9386212107246
1735916400000,1003.2401017443977,1002.4478130180872,1,999.9386212107246
1735920000000,1002.9698157466199,1002.5282798418532,1,999.9386212107246
1735923600000,1003.5486874743859,1002.6573626572866,1,999.929466149432
1735927200000,1002.6862481837667,1002.5583265664977,1,999.929466149432
1735930800000,1003.6704193359806,1002.4386579567946,1,999.929466149432
1735934400000,1005.0899366372869,1003.5053591846657,1,999.929466149432
1735938000000,1003.8849975326896,1003.748822907855,1,999.929466149432
1735941600000,1003.8416692429695,1003.7137476257005,1,999.929466149432
1735945200000,1004.3141539261078,1003.5940790159975,1,999.929466149432
1735948800000,1003.8581752581009,1003.8519855024266,1,999.929466149432
1735952400000,1004.9115053757645,1003.5002410820239,1,999.9202215430072
1735956000000,1008.9080242894714,1004.913568627656,1,999.9202215430072
1735959600000,1009.4093944990898,1008.8791387629914,1,999.9202215430072
1735963200000,1007.5792900713882,1007.0490343352898,1,999.9202215430072
1735966800000,1006.774621833729,1006.4341852716425,1,999.9202215430072
1735970400000,1006.8138236196663,1005.9163090468927,1,999.9202215430072
1735974000000,1007.74022371892,1006.4960828283855,1,999.9202215430072
1735977600000,1006.1638992738647,1006.0772426944245,1,999.9202215430072
1735981200000,1005.238339124456,1004.7369689148376,1,999.910745233395
1735984800000,1006.3132933598929,1005.1413662855587,1,999.910745233395
1735988400000,1006.4205824582475,1005.2548451395875,1,999.910745233395
1735992000000,1005.5870286941083,1005.5602064195197,1,999.910745233395
1735995600000,1005.3559444822678,1005.1991373385188,1,999.910745233395
1735999200000,1005.9914260648293,1005.0815319807072,1,999.910745233395
1736002800000,1006.1049049188581,1005.6221039762627,1,999.910745233395
1736006400000,1003.4226774599945,1002.9501927768562,1,999.910745233395
1736010000000,1004.123237297067,1003.2752407696877,1,999.9015464198144
1736013600000,1004.0943517705869,1003.5021984777455,1,999.9015464198144
1736017200000,1004.3006769597303,1004.0324542138438,1,999.9015464198144
1736020800000,1004.247032410553,1003.7848639868718,1,999.9015464198144
1736024400000,1004.527634667788,1003.9210386117064,1,999.9015464198144
1736028000000,1004.1438698159814,1004.0530867327582,1,999.9015464198144
1736031600000,1004.7071375823427,1003.8591410549635,1,999.9015464198144
1736035200000,1004.2656016775759,1003.9788096646666,1,999.9015464198144
1736038800000,1003.7064286860622,1003.1555404310494,1,999.9035779427707
1736042400000,1003.2896518039927,1002.5179955965964,1,999.9035779427707
1736046000000,1003.4939137412446,1003.2277542472495,1,999.9035779427707
1736049600000,1003.3536126126271,1002.7449533046541,1,999.9035779427707
1736053200000,1003.8611725779198,1003.3267903380384,1,999.9035779427707
1736056800000,1003.2875885521012,1003.1844259575296,1,999.9035779427707
1736060400000,1003.8095912806339,1002.8171671208544,1,999.9035779427707
1736064000000,1003.2875885521012,1003.1596669348323,1,999.9035779427707
1736067600000,1002.0466375517408,1001.805237080443,1,999.8943883215961
1736071200000,1000.9923158352182,1000.938671286041,1,999.8943883215961
1736074800000,1001.4874962891623,1000.5776022050401,1,999.8943883215961
1736078400000,1001.7990473247687,1001.4441679994421,1,999.8943883215961
1736082000000,1001.6628726999342,1001.2852976038018,1,999.8943883215961
1736085600000,1001.9868032468892,1001.5411408383395,1,999.8943883215961
1736089200000,1002.4510349224618,1001.262601832996,1,999.8943883215961
1736092800000,1001.6422401810198,1001.4441679994422,1,999.8943883215961
1736096400000,1001.4784710064137,1000.9461520184238,1,999.8853630388475
1736100000000,1001.4784710064137,1001.1834259859386,1,999.8853630388475
1736103600000,1002.289328999747,1001.0101128270583,1,999.8853630388475
1736107200000,1001.8065280571516,1001.604329371791,1,999.8853630388475
1736110800000,1001.9550821933348,1001.7198714777113,1,999.8853630388475
1736114400000,1002.1325218559981,1001.870488865786,1,999.8853630388475
1736118000000,1002.4770849218675,1001.7487570041915,1,999.8853630388475
1736121600000,1002.2810759921813,1002.2150519316555,1,999.8853630388475
1736125200000,1001.1124379476871,1001.0422873833784,1,999.876272557339
1736128800000,1003.8937014973396,1000.6131309899603,1,999.876272557339
1736132400000,1003.2685361742352,1003.0993495191377,1,999.876272557339
1736136000000,1003.6502377741505,1002.8950875818857,1,999.876272557339
1736139600000,1004.2527073264491,1003.652301026042,1,999.876272557339
1736143200000,1003.3407499904355,1003.2664729223438,1,999.876272557339
1736146800000,1004.2692133415806,1003.1550573202064,1,999.876272557339
1736150400000,1003.1550573202064,1002.9693646499774,1,999.876272557339
1736154000000,1002.6424450700073,1002.5846740170471,1,999.8670937686496
1736157600000,1002.821947984562,1002.1431381122803,1,999.8670937686496
1736161200000,1004.1548087064281,1002.7146588862075,1,999.8670937686496
1736164800000,1004.5880916036291,1003.9051552275646,1,999.8670937686496
1736168400000,1004.3198688577428,1003.9567365248504,1,999.8670937686496
1736172000000,1004.4457272231202,1003.6575650005926,1,999.8670937686496
1736175600000,1006.0509371946556,1003.5997939476324,1,999.8670937686496
1736179200000,1005.9560276076496,1005.6465398239346,1,999.8670937686496
1736182800000,1006.0414799930255,1005.4905917380128,1,999.8576365670195
1736186400000,1005.3626701207438,1004.4218272582501,1,999.8576365670195
1736190000000,1004.5146735933646,1004.2856526334155,1,999.8576365670195
1736193600000,1004.4445230290559,1004.4073844950101,1,999.8576365670195
1736197200000,1004.2278815804553,1003.8461799805401,1,999.8576365670195
1736200800000,1003.4706681362992,1003.24164717635,1,999.8576365670195
1736204400000,1003.5222494335851,1002.5525210446112,1,999.8576365670195
1736208000000,1003.4933639071049,1002.8166172867147,1,999.8576365670195
1736211600000,1002.444271441429,1002.3225395798344,1,999.8484230546261
1736215200000,1002.986906688876,1001.9532174912679,1,999.8484230546261
1736218800000,1002.1017716274511,1001.9882927734221,1,999.8484230546261
1736222400000,1002.5907623257208,1002.0708228490795,1,999.8484230546261
1736226000000,1002.7661387364926,1002.5783828143722,1,999.8484230546261
1736229600000,1004.0989994583588,1002.6175846003094,1,999.8484230546261
1736233200000,1005.9600526644318,1003.3789245482484,1,999.8484230546261
1736236800000,1004.6210021868915,1004.5157763404283,1,999.8484230546261
1736240400000,1006.251961132889,1004.6096126273079,1,999.8390967469339
1736244000000,1006.0291299286142,1005.1439948671892,1,999.8390967469339
1736247600000,1006.64191574037,1005.4349133838814,1,999.8390967469339
1736251200000,1004.8737088694114,1004.1660134706497,1,999.8390967469339
1736254800000,1004.9500491893945,1004.5600945819135,1,999.8390967469339
1736258400000,1006.0642052107686,1004.9500491893945,1,999.8390967469339
1736262000000,1004.8778353731942,1004.2485435463069,1,999.8390967469339
1736265600000,999.7683027415942,998.3930346784184,0,999.7683027415942
1736269200000,999.7683027415942,999.7683027415942,0,999.7683027415942
1736272800000,999.7683027415942,999.7683027415942,0,999.7683027415942
1736276400000,999.7683027415942,999.7683027415942,0,999.7683027415942
1736280000000,999.7683027415942,999.7683027415942,0,999.7683027415942
1736283600000,999.7683027415942,999.7683027415942,0,999.7683027415942
1736287200000,999.7683027415942,999.7683027415942,0,999.7683027415942
1736290800000,999.7683027415942,999.7683027415942,0,999.7683027415942
