strategy,symbol,direction,entry_time,exit_time,entry,exit,qty,entries,gross_pnl,fees,funding,net_pnl,initial_risk,r,holding_hours,reason,candidate
DON55,ZECUSDT,-1,1736323200000,1736877600000,51.324598,51.3399953794,1.817878115051131,1,-0.027990559040398245,0.09331585874751724,-0.16740723667776702,0.04610081888985153,7.5,0.0061467758519802036,154.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1737100800000,1737176400000,55.986791,52.06973681984285,1.8887408815567275,1,-7.398300365335469,0.10204539080620452,0.020694933839217063,-7.521040689980891,7.500345756141674,-1.0027591973106402,21.0,STOP,ZECUSDT
DON55,ZECUSDT,-1,1738468800000,1738548000000,37.468756,28.0921811268,2.724432746714625,1,25.54584763656761,0.08930818200677629,-0.024051538056569947,25.480590992617405,7.443937950966818,3.4229988428783162,22.0,TARGET,ZECUSDT
DON55,ZECUSDT,-1,1738555200000,1738594800000,28.341495000000002,32.9570934485,1.6432706145227585,1,-7.584677298856877,0.05036508455457213,0.0021813747479660956,-7.637223758159415,7.635042383411449,-1.0002857056501357,11.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1740024000000,1740160800000,38.181451,35.492228707557146,2.7797501218695797,1,-7.475365995152421,0.10239721007283117,0.01662144594300359,-7.594384651168255,7.577763205225253,-1.0021934501637029,38.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1742918400000,1743138000000,36.460935,36.4499967195,3.1793211609120355,1,-0.034776306657640095,0.11590363403880945,-0.008629876330135053,-0.1420500643663145,7.52080532034149,-0.018887613535496298,61.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1743523200000,1743634800000,41.622482999999995,38.845111683671426,2.6688409629776033,1,-7.412362338416712,0.10737760644203057,-0.3194944747385754,-7.2002454701201675,7.519739944858743,-0.9575125633224838,31.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1745582400000,1745676000000,34.830446,32.916282437628574,3.832441778657933,1,-7.33592040761696,0.12981769621588063,0.03927224451374856,-7.505010348346589,7.465738103832841,-1.0052603297848857,26.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1745827200000,1745946000000,37.61128,35.11359990171429,2.923964540617558,1,-7.3031280411936015,0.10632248502664154,0.030795855187284456,-7.440246381407528,7.409450526220243,-1.0041562940569353,33.0,STOP,ZECUSDT
DON55,ZECUSDT,1,1746648000000,1747238400000,39.791934,41.06339157142857,3.0175536698148036,1,3.8366914606780993,0.1219926422010675,0.23587034453554095,3.478828473941491,7.353648678359685,0.47307515304327585,164.0,STOP,ZECUSDT
