symbol,status,failed,validation_return_pct,validation_pf,holdout_return_pct,holdout_pf,holdout_trades,holdout_win_rate_pct,holdout_mean_r,holdout_max_dd_pct,year_2025_return_pct,year_2026_return_pct,stress_return_pct,checks
SUIUSDT,PASS,,3.6234619112717192,1.337305755267099,10.211239761440872,2.2680350525336586,27,44.44444444444444,0.4915785917936346,3.605938062966052,6.789022610782114,3.204652563524113,9.492105412359408,"{'validation_profit': True, 'year_2025_profit': True, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
WLDUSDT,PASS,,4.361250741476108,1.441225309009277,3.1773061101802336,1.1906896910868294,42,33.33333333333333,0.10792912122554142,4.6260759794148125,2.6769600482769107,0.487301203374213,1.8167512505745664,"{'validation_profit': True, 'year_2025_profit': True, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
XLMUSDT,FAIL,validation_profit,-2.212603934874846,0.8009569151473679,11.015014596794437,1.8539331556033372,35,37.142857142857146,0.4097914572824808,4.183091402845629,10.657723681008434,0.32287932907058003,10.00562747155158,"{'validation_profit': False, 'year_2025_profit': True, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
INJUSDT,FAIL,validation_profit,-3.8216860848353296,0.529556024813481,8.382402460869098,1.784033842753336,37,35.13513513513514,0.2987418298549217,4.186459821463496,5.852852200878744,2.3896854996311223,7.6043687425288775,"{'validation_profit': False, 'year_2025_profit': True, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
AVAXUSDT,FAIL,validation_profit,-6.135195714191866,0.5359145430570639,3.404723563991152,1.2885945935809249,29,37.93103448275862,0.16371016780412123,5.947678071869089,1.3976889773847478,1.979369162007294,2.808336856921434,"{'validation_profit': False, 'year_2025_profit': True, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
1000PEPEUSDT,FAIL,validation_profit,-0.28608589544163454,0.9650911601420131,3.49266442831373,1.2032198545803838,40,32.5,0.12515943589642778,6.029229239933464,0.5030465184516775,2.9746540163965607,2.811785352434182,"{'validation_profit': False, 'year_2025_profit': True, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
ARBUSDT,FAIL,year_2025_profit,4.3558030255618,1.568021404640455,2.676481134622244,1.1630628323174719,43,37.2093023255814,0.09005503862535524,6.519582992007855,-1.9753613544798876,4.745584940051928,1.9083355547527825,"{'validation_profit': True, 'year_2025_profit': False, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': True, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': True, 'no_liquidation_flag': True}"
APTUSDT,FAIL,"year_2026_profit,holdout_pf_1_15,stress_profit",0.9879976002743929,1.100806414794562,0.39870704061666373,1.0395313143039349,28,32.142857142857146,0.025375351864527457,5.916846186030689,0.7165869761315502,-0.3156182561966703,-0.03717977377719617,"{'validation_profit': True, 'year_2025_profit': True, 'year_2026_profit': False, 'holdout_profit': True, 'holdout_pf_1_15': False, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': False, 'no_liquidation_flag': True}"
ZECUSDT,FAIL,"year_2025_profit,holdout_pf_1_15,stress_profit",10.082537601608799,2.088354166328881,0.3841847201512927,1.0214313485451418,45,33.33333333333333,0.01948700811895175,9.630068575459704,-6.109701206819961,6.916461029989773,-0.21105188981465073,"{'validation_profit': True, 'year_2025_profit': False, 'year_2026_profit': True, 'holdout_profit': True, 'holdout_pf_1_15': False, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': False, 'no_liquidation_flag': True}"
NEARUSDT,FAIL,"validation_profit,year_2025_profit,holdout_profit,holdout_pf_1_15,stress_profit",-0.9397659190565122,0.9066562966990972,-1.669660512143889,0.8974631538289958,42,33.33333333333333,-0.04693589763220946,8.055613840734555,-4.290081823243863,2.7378785407178086,-2.283245968633907,"{'validation_profit': False, 'year_2025_profit': False, 'year_2026_profit': True, 'holdout_profit': False, 'holdout_pf_1_15': False, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': False, 'no_liquidation_flag': True}"
AAVEUSDT,FAIL,"validation_profit,year_2025_profit,holdout_profit,holdout_pf_1_15,stress_profit",-3.822935615221823,0.6351103376492273,-3.9602262376299824,0.8185796257702611,50,26.0,-0.10008250828070436,10.336133047161567,-5.082174422758379,1.1820205301852127,-4.683189339092109,"{'validation_profit': False, 'year_2025_profit': False, 'year_2026_profit': True, 'holdout_profit': False, 'holdout_pf_1_15': False, 'holdout_trades_20': True, 'holdout_dd_12': True, 'stress_profit': False, 'no_liquidation_flag': True}"
FILUSDT,FAIL,"validation_profit,year_2025_profit,year_2026_profit,holdout_profit,holdout_pf_1_15,holdout_dd_12,stress_profit",-1.1219269888397942,0.9154178793597131,-12.511500173054891,0.3850624536786819,37,10.81081081081081,-0.47518974332382646,14.107182318956202,-7.407374342558237,-5.512453928437044,-12.74102412206205,"{'validation_profit': False, 'year_2025_profit': False, 'year_2026_profit': False, 'holdout_profit': False, 'holdout_pf_1_15': False, 'holdout_trades_20': True, 'holdout_dd_12': False, 'stress_profit': False, 'no_liquidation_flag': True}"
