time,equity,adverse_equity,positions,cash
1767229200000,1000.0,1000.0,0,1000.0
1767232800000,1000.0,1000.0,0,1000.0
1767236400000,1000.0,1000.0,0,1000.0
1767240000000,1000.0,1000.0,0,1000.0
1767243600000,1000.0,1000.0,0,1000.0
1767247200000,1000.0,1000.0,0,1000.0
1767250800000,1000.0,1000.0,0,1000.0
1767254400000,1000.0,1000.0,0,1000.0
1767258000000,1000.0,1000.0,0,1000.0
1767261600000,1000.0,1000.0,0,1000.0
1767265200000,1000.0,1000.0,0,1000.0
1767268800000,1000.0,1000.0,0,1000.0
1767272400000,1000.0,1000.0,0,1000.0
1767276000000,1000.0,1000.0,0,1000.0
1767279600000,1000.0,1000.0,0,1000.0
1767283200000,1000.0,1000.0,0,1000.0
1767286800000,1000.0,1000.0,0,1000.0
1767290400000,1000.0,1000.0,0,1000.0
1767294000000,1000.0,1000.0,0,1000.0
1767297600000,1000.0,1000.0,0,1000.0
1767301200000,1000.0,1000.0,0,1000.0
1767304800000,1000.0,1000.0,0,1000.0
1767308400000,1000.0,1000.0,0,1000.0
1767312000000,1000.0,1000.0,0,1000.0
1767315600000,1000.0,1000.0,0,1000.0
1767319200000,1000.0,1000.0,0,1000.0
1767322800000,1000.0,1000.0,0,1000.0
1767326400000,1000.0,1000.0,0,1000.0
1767330000000,1000.0,1000.0,0,1000.0
1767333600000,1000.0,1000.0,0,1000.0
1767337200000,1000.0,1000.0,0,1000.0
1767340800000,1000.0,1000.0,0,1000.0
1767344400000,1000.0,1000.0,0,1000.0
1767348000000,1000.0,1000.0,0,1000.0
1767351600000,1000.0,1000.0,0,1000.0
1767355200000,1000.0,1000.0,0,1000.0
1767358800000,1000.0,1000.0,0,1000.0
1767362400000,1000.0,1000.0,0,1000.0
1767366000000,1000.0,1000.0,0,1000.0
1767369600000,1000.0,1000.0,0,1000.0
1767373200000,1001.0762430717998,999.8041032264945,1,999.9758310279885
1767376800000,1001.4085717392531,1000.9047185982755,1,999.9758310279885
1767380400000,1001.0690962187364,1000.7331941247512,1,999.9758310279885
1767384000000,1001.4764668433565,1001.0369353799506,1,999.9758310279885
1767387600000,1000.6505334257714,1000.0361553853953,3,999.9283153765259
1767391200000,1002.480942528336,1000.2798849277565,3,999.9283153765259
1767394800000,1004.4351259615906,1002.2456381134635,3,999.9283153765259
1767398400000,1004.2223180736412,1002.974650153695,3,999.9283153765259
1767402000000,1004.85208329754,1004.0502332841486,3,999.9184977837077
1767405600000,1004.250641645363,1003.7745720278323,3,999.9184977837077
1767409200000,1004.9391282517872,1003.2885247312063,3,999.9184977837077
1767412800000,1005.3418920045382,1004.1156045430146,3,999.9184977837077
1767416400000,1004.4637334524516,1004.118367586741,3,999.9184977837077
1767420000000,1003.9407357677892,1003.2949951468356,3,999.9184977837077
1767423600000,1003.2542978651446,1002.5989817253496,3,999.9184977837077
1767427200000,1001.1112032736235,1000.4759598697332,3,999.9184977837077
1767430800000,1001.8747255328786,1000.5424635227184,3,999.9040408737786
1767434400000,1002.5835200623364,1001.2578571067178,3,999.9040408737786
