strategy,symbol,direction,entry_time,exit_time,entry,exit,qty,entries,gross_pnl,fees,funding,net_pnl,initial_risk,r,holding_hours,reason
DON55,ZECUSDT,-1,1736323200000,1736877600000,51.324598,51.3399953794,1.817878115051131,1,-0.027990559040398245,0.09331585874751724,-0.16740723667776702,0.04610081888985153,7.5,0.0061467758519802036,154.0,STOP
DON55,ZECUSDT,1,1737100800000,1737176400000,55.986791,52.06973681984285,1.8887408815567275,1,-7.398300365335469,0.10204539080620452,0.020694933839217063,-7.521040689980891,7.500345756141674,-1.0027591973106402,21.0,STOP
DON55,ZECUSDT,-1,1738468800000,1738548000000,37.468756,28.0921811268,2.724432746714625,1,25.54584763656761,0.08930818200677629,-0.024051538056569947,25.480590992617405,7.443937950966818,3.4229988428783162,22.0,TARGET
DON55,ZECUSDT,-1,1738555200000,1738594800000,28.341495000000002,32.9570934485,1.6432706145227585,1,-7.584677298856877,0.05036508455457213,0.0021813747479660956,-7.637223758159415,7.635042383411449,-1.0002857056501357,11.0,STOP
DON55,ZECUSDT,1,1740024000000,1740160800000,38.181451,35.492228707557146,2.7797501218695797,1,-7.475365995152421,0.10239721007283117,0.01662144594300359,-7.594384651168255,7.577763205225253,-1.0021934501637029,38.0,STOP
DON55,ZECUSDT,1,1742918400000,1743138000000,36.460935,36.4499967195,3.1793211609120355,1,-0.034776306657640095,0.11590363403880945,-0.008629876330135053,-0.1420500643663145,7.52080532034149,-0.018887613535496298,61.0,STOP
DON55,ZECUSDT,1,1743523200000,1743634800000,41.622482999999995,38.845111683671426,2.6688409629776033,1,-7.412362338416712,0.10737760644203057,-0.3194944747385754,-7.2002454701201675,7.519739944858743,-0.9575125633224838,31.0,STOP
DON55,ZECUSDT,1,1745582400000,1745676000000,34.830446,32.916282437628574,3.832441778657933,1,-7.33592040761696,0.12981769621588063,0.03927224451374856,-7.505010348346589,7.465738103832841,-1.0052603297848857,26.0,STOP
DON55,ZECUSDT,1,1745827200000,1745946000000,37.61128,35.11359990171429,2.923964540617558,1,-7.3031280411936015,0.10632248502664154,0.030795855187284456,-7.440246381407528,7.409450526220243,-1.0041562940569353,33.0,STOP
DON55,ZECUSDT,1,1746648000000,1747238400000,39.791934,41.06339157142857,3.0175536698148036,1,3.8366914606780993,0.1219926422010675,0.23587034453554095,3.478828473941491,7.353648678359685,0.47307515304327585,164.0,STOP
DON55,ZECUSDT,1,1748188800000,1748228400000,51.41542,51.399995374,2.285749052744418,1,-0.03525682426843222,0.11750511914932221,-0.02086796678038866,-0.13189397663736577,7.3797398919142445,-0.01787244246668883,11.0,STOP
DON55,ZECUSDT,-1,1749931200000,1750813200000,43.446962,43.05577,2.1571473441863027,1,0.8438587838669209,0.09329956929932975,-0.058271487255222326,0.8088307018228136,7.378750687089465,0.10961621229973491,245.0,STOP
DON55,ZECUSDT,1,1752019200000,1752030000000,43.693104,41.62918292594286,3.5055915956827,1,-7.235264371367126,0.1495525459860066,0.015312424089942033,-7.400129341443074,7.384816917353134,-1.0020735008411594,3.0,STOP
DON55,ZECUSDT,-1,1753344000000,1753686000000,40.07797300000001,42.8551113919,2.6003346047654436,1,-7.221489062680216,0.10782688461209525,-0.12743677299441622,-7.201879174297894,7.3293159472923115,-0.9826127330420928,95.0,STOP
DON55,ZECUSDT,-1,1754006400000,1754647200000,36.88893,38.745906000000005,3.3732082181529996,1,-6.263966704112895,0.1275660251869272,-0.20223992033899146,-6.189292808960831,7.275301853485076,-0.8507265998861592,178.0,STOP
DON55,ZECUSDT,1,1755086400000,1755176400000,40.472138,37.86506078717143,2.731750060417666,1,-7.121883333657969,0.10699882375990313,0.03244451339291571,-7.261326670810788,7.228882157417871,-1.004488178488236,25.0,STOP
DON55,ZECUSDT,1,1755820800000,1756152000000,42.542759,39.70227331515714,2.489728549806315,1,-7.0720383048693956,0.10238390251739485,0.10388801477776786,-7.278310222164559,7.17442220738679,-1.014480331903356,92.0,STOP
DON55,ZECUSDT,1,1757304000000,1757595600000,49.844949,46.925152943871424,2.3987198300293806,1,-7.003772699477192,0.11606218124336455,0.10092005805347118,-7.220754938774028,7.119834880720557,-1.0141744941763673,81.0,STOP
DON55,ZECUSDT,1,1757836800000,1757883600000,53.976188,51.24652371502857,2.539532429854659,1,-6.932070974300969,0.13360824437878138,0.01330019174817583,-7.078979410427926,7.065679218679751,-1.0018823656348583,13.0,STOP
DON55,ZECUSDT,-1,1758528000000,1758643200000,48.065576,51.1594906728,2.230802030092965,1,-6.901911133016645,0.11067574008489603,0.01085390916029469,-7.023440782261836,7.012586873101542,-1.0015477753583242,32.0,STOP
DON55,ZECUSDT,1,1758672000000,1758823200000,55.126532999999995,55.109995040099996,1.7369045807096017,1,-0.028724858305900085,0.09573516525718608,0.039978961682410954,-0.1644389852454971,6.959911067234578,-0.023626592876974016,42.0,STOP
DON55,ZECUSDT,1,1759190400000,1759226400000,72.06161200000001,65.76044937354287,1.092401461801186,1,-6.883399264188782,0.0752785106564555,0.015254165494836984,-6.973931940340075,6.9586777748452375,-1.0021921068899007,10.0,STOP
DON55,ZECUSDT,1,1759248000000,1759341600000,73.532053,103.54098138410005,0.7964383690930568,1,23.90026198046298,0.0705138793576157,-0.06916470028468308,23.898912801390047,6.906373285292686,3.46041428897037,26.0,TARGET
DON55,ZECUSDT,1,1759348800000,1759849200000,118.60557099999998,140.78632285714284,0.3820735111046508,1,8.474677740999574,0.04955338581904173,0.08045299244277623,8.344671362737756,7.085615131303112,1.1776918740438407,139.0,STOP
DON55,ZECUSDT,1,1760212800000,1760634000000,290.86723399999994,213.94445997265709,0.09262304510548154,1,-7.124821568373341,0.02337859815030198,0.018595301839276542,-7.1667954683629205,7.148200166523644,-1.0026013963523799,117.0,STOP
DON55,ZECUSDT,1,1761897600000,1762095600000,385.02547300000003,384.90996535810007,0.1347761992391638,1,-0.015567680958355937,0.05188448602072211,-0.5161575163809178,0.4487053494018397,7.094449200510921,0.06324738351351156,55.0,STOP
DON55,ZECUSDT,1,1762416000000,1762574400000,518.745577,597.0151274285715,0.07929983853498797,1,6.206762711191819,0.04423982185243508,-0.5148059983180132,6.677328887657397,7.0978144906314355,0.9407584400058571,44.0,STOP
DON55,ZECUSDT,-1,1764720000000,1764788400000,312.626184,374.9086228552,0.11413583680560485,1,-7.108658277032168,0.03923618025669909,-0.00506708763956706,-7.1428273696493,7.147894457288867,-0.9992911076583678,19.0,STOP
DON55,ZECUSDT,1,1766937600000,1767189600000,534.910425,502.0940373010714,0.2128197593241506,1,-6.983975731974006,0.1103475200424921,-0.08754424828371986,-7.0067790037327775,7.094323252016498,-0.9876599578037502,70.0,STOP
DON55,ZECUSDT,-1,1767873600000,1767902400000,396.031155,437.6566983465,0.1674922112232618,1,-6.971954298475012,0.06981811101348984,-0.007138678862159424,-7.034633730626342,7.041772409488503,-0.9989862383435537,8.0,STOP
DON55,ZECUSDT,-1,1769860800000,1769994000000,317.40475000000004,317.499971425,0.26113735237975017,1,-0.024865870814320942,0.08289866898316367,-0.024403885790673298,-0.08336065400681131,6.989012656508805,-0.011927386328193049,37.0,STOP
DON55,ZECUSDT,-1,1770249600000,1770386400000,251.654481,236.7853,0.2631635556159071,1,3.9130265410564884,0.0642697747361075,-0.030117422816409948,3.878874189136791,6.988387451603753,0.5550456691187943,38.0,STOP
DON55,ZECUSDT,-1,1772265600000,1772330400000,208.39746200000002,225.7408782386,0.39961759852822176,1,-6.930734347544691,0.0867446604775887,0.02911423461037389,-7.046593242632653,7.0174790080222795,-1.0041488167726744,18.0,STOP
DON55,ZECUSDT,1,1773691200000,1773853200000,266.309869,250.23776328571427,0.3512320820720074,1,-5.645039153309983,0.09071405018853854,0.042909798161481466,-5.778663001660004,6.964629558702533,-0.8297157735316123,45.0,STOP
DON55,ZECUSDT,1,1775606400000,1776096000000,320.266051,346.41318771428575,0.28672956828260193,1,7.497157221913324,0.09557832514976045,-0.22396074152967843,7.625539638293242,6.921289586190084,1.1017512767430415,136.0,STOP
DON55,ZECUSDT,1,1777665600000,1778014800000,384.165215,464.0709519355001,0.2988506630183777,1,23.879882462146277,0.12674797044242075,-0.07493343353722953,23.828067925241086,6.978481133477282,3.4145063187077622,97.0,TARGET
DON55,ZECUSDT,1,1778025600000,1778511600000,516.875016,551.3159841428571,0.1544842192977762,1,5.320586075408872,0.08250932635899001,0.07739589926526158,5.16068084978462,7.1571916429165885,0.7210482976087558,135.0,STOP
DON55,ZECUSDT,1,1779307200000,1779462000000,676.953025,627.0405706639285,0.14231137860537607,1,-7.1031101861442165,0.0927865631457575,-0.1419853213805895,-7.053911427909385,7.1958967492899735,-0.9802685716141496,43.0,STOP
DON55,ZECUSDT,-1,1779940800000,1780275600000,536.6789480000001,583.5268106844001,0.15067072228561623,1,-7.058601308195909,0.08439110538474265,0.025795504189096555,-7.168787917769748,7.142992413580653,-1.003611302195989,93.0,STOP
DON55,ZECUSDT,-1,1780632000000,1780812000000,403.159016,403.27996370479997,0.07485913202642783,1,-0.009054040201913614,0.030184661026489687,0.06817125095502069,-0.10740995218342399,7.089226504197381,-0.01515115254390995,50.0,STOP
DON55,ZECUSDT,1,1783080000000,1784120400000,464.079182,580.0551132454001,0.20995012458280735,1,24.34916121357885,0.10960806268397674,0.2874808514375462,23.952072299457328,7.088420929556004,3.379042037357904,289.0,TARGET
DON55,ZECUSDT,-1,1785225600000,1785704400000,468.899288,492.0611477864,0.30741717911518646,1,-7.120353598596559,0.1477078732053777,-0.14513903293085242,-7.122922438871084,7.2680614718019365,-0.9800305716326215,133.0,STOP
DON55,ZECUSDT,1,1787155200000,1787299200000,550.625138,629.7711499586,0.3087831810606908,1,24.43895734084397,0.18224326035404384,0.05963139032998108,24.197082690159945,7.214639553510401,3.3538865678170238,40.0,TARGET
DON55,ZECUSDT,1,1787299200000,1787364000000,637.7512679999999,799.5113426196,0.15710456998780503,1,25.413246964307532,0.11290026220047117,0.021816004891896446,25.278530697215167,7.396117673686601,3.4178107775582567,18.0,TARGET
DON55,ZECUSDT,1,1787371200000,1787378400000,836.6809289999999,757.3165230070142,0.09463041073828339,1,-7.5102863371161135,0.07542031679960046,0.0,-7.5857066539157145,7.5857066539157145,-1.0,2.0,STOP
