strategy,market,period,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
BASE,spot,development,69,440.38054625838413,3440.380546258384,14.67935154194613,7.063928712379896,8.269571191281354,2.466173033492186,15.942028985507244,-0.229106787009597,11.240832167636809,0.0,24,667.3333333333334,0.8102321797892419,44.08675799086758,2.8421709430404007e-12
BASE,spot,validation,48,673.4970669777249,3673.497066977725,22.449902232590823,12.1729646019335,12.663112123076436,4.867051975870085,33.33333333333333,0.21081810759644634,9.97418053822524,0.0,18,250.16666666666666,1.1911173285051024,62.75045537340619,1.1368683772161603e-12
BASE,spot,holdout,49,-3.607550858937884,2996.392449141062,-0.12025169529793489,5.544240061669525,5.591084042974903,0.9771062069094016,18.367346938775512,-0.09463833014096387,6.896395737985941,0.0,22,382.8333333333333,0.021241044250967935,38.651315789473685,1.7408297026122455e-12
BASE,spot,full,163,1066.5504677423187,4066.5504677423187,35.5516822580773,11.30749218979945,11.76279124376146,2.6452966039940233,20.858895705521473,-0.09471621958115044,27.467644485854542,0.0,24,667.3333333333334,0.6644812246376816,47.54499217527386,5.4569682106375694e-12
BASE,spot,stress_later,49,-13.931252976887208,2986.068747023113,-0.46437509922957476,5.683856188398462,5.730708383071592,0.9155138787927096,18.367346938775512,-0.15604376114799426,13.772136857581748,0.0,22,382.8333333333333,-0.010481669504022318,38.651315789473685,7.780442956573097e-13
BASE,spot,equal_size_later,49,-3.607550858937884,2996.392449141062,-0.12025169529793489,5.544240061669525,5.591084042974903,0.9771062069094016,18.367346938775512,-0.09463833014096387,6.896395737985941,0.0,22,382.8333333333333,0.021241044250967935,38.651315789473685,1.7408297026122455e-12
BASE,spot,gross_later,49,6.747153367472038,3006.747153367472,0.22490511224906307,5.404640905417923,5.451476648368958,1.0449093436002135,18.367346938775512,-0.01665040096664996,0.0,0.0,22,382.8333333333333,0.05309271555044455,38.651315789473685,1.3447021274259896e-12
BASE,spot,no_hard_stop_later,47,20.974073052152107,3020.974073052152,0.6991357684050792,5.515862952996098,6.269302441886204,1.1184681711407216,25.53191489361702,0.20575979381437595,6.821001868127075,0.0,15,382.8333333333333,0.09547957458492005,47.834429824561404,-7.887024366937112e-13
B,spot,development,47,181.05671506080535,3181.0567150608053,6.035223835360171,5.773776980887801,6.658929765209209,1.9435343372040275,19.148936170212767,-0.1538340939010688,7.681245453021319,0.0,18,273.3333333333333,0.5176158723640205,40.93607305936073,1.1368683772161603e-12
B,spot,validation,38,530.2265310192497,3530.2265310192497,17.67421770064166,9.094526288744476,9.876456461808225,5.51537800237586,34.21052631578947,2.241052088258766,6.930763688313958,0.0,14,253.5,1.305469292069398,61.338797814207645,7.958078640513122e-13
