time,equity,adverse_equity,positions,cash
1735693200000,1000.0,1000.0,0,1000.0
1735696800000,1000.0,1000.0,0,1000.0
1735700400000,1000.0,1000.0,0,1000.0
1735704000000,1000.0,1000.0,0,1000.0
1735707600000,1000.0,1000.0,0,1000.0
1735711200000,1000.0,1000.0,0,1000.0
1735714800000,1000.0,1000.0,0,1000.0
1735718400000,1000.0,1000.0,0,1000.0
1735722000000,1000.0,1000.0,0,1000.0
1735725600000,1000.0,1000.0,0,1000.0
1735729200000,1000.0,1000.0,0,1000.0
1735732800000,1000.0,1000.0,0,1000.0
1735736400000,1000.0,1000.0,0,1000.0
1735740000000,1000.0,1000.0,0,1000.0
1735743600000,1000.0,1000.0,0,1000.0
1735747200000,1000.0,1000.0,0,1000.0
1735750800000,1001.4348682722473,999.5119624357071,1,999.8901115054034
1735754400000,1001.2197179688582,999.0906264249035,1,999.8901115054034
1735758000000,1004.0077073169421,1000.7311474882454,1,999.8901115054034
1735761600000,1003.8463445894002,1002.5644073650401,1,999.8901115054034
1735765200000,1003.3577741087875,1002.8692036281748,1,999.8901115054034
1735768800000,1003.989778124993,1002.4254561274347,1,999.8901115054034
1735772400000,1005.2672330513658,1002.9812610778565,1,999.8901115054034
1735776000000,1004.5186892874912,1003.6804995638711,1,999.8901115054034
1735779600000,1007.0496990111873,1004.3513556228488,1,999.8796582703156
1735783200000,1007.5830924716728,1006.2608145654272,1,999.8796582703156
1735786800000,1007.7579020931764,1006.9421238594928,1,999.8796582703156
1735790400000,1008.6409147966692,1007.5606809817364,1,999.8796582703156
1735794000000,1007.6302946326502,1006.5381821909189,2,999.7708919731547
1735797600000,1005.0714994054727,1004.4225820416266,2,999.7708919731547
1735801200000,1003.6372085502459,1002.8345682628882,2,999.7708919731547
1735804800000,1004.8538539920128,1003.0946187830589,2,999.7708919731547
1735808400000,1004.8983944231697,1002.625825410117,3,999.6205538941191
1735812000000,1008.3692776582116,1003.9965156278328,3,999.6205538941191
1735815600000,1011.715918149756,1006.8544757225723,3,999.6205538941191
1735819200000,1011.811093723284,1008.4996260871006,3,999.6205538941191
1735822800000,1012.6901905060861,1010.8159164448057,3,999.6205538941191
1735826400000,1010.1428464878763,1009.2348601183061,3,999.6205538941191
1735830000000,1010.9230796360963,1006.7964188346234,3,999.6205538941191
1735833600000,1008.1908184749766,1005.739006065,3,999.6205538941191
1735837200000,1009.9686488582033,1006.5259884631589,3,999.5871055341742
1735840800000,1007.5203759693536,1004.8999316979978,3,999.5871055341742
1735844400000,1009.6293175338736,1006.4251416962704,3,999.5871055341742
1735848000000,1007.1777670182071,1006.9013296160535,3,999.5871055341742
1735851600000,1007.0123440332516,1005.3707802094325,3,999.5871055341742
1735855200000,1007.6902868235115,1005.7103432444891,3,999.5871055341742
1735858800000,1007.9987786415011,1005.3743842671867,3,999.5871055341742
1735862400000,1008.0538595040625,1007.02763807228,3,999.5871055341742
1735866000000,1008.2384016066578,1007.3926093473523,3,999.5536645613319
1735869600000,1010.750403683383,1006.3616881902294,3,999.5536645613319
1735873200000,1013.0979071561037,1010.2207142980119,3,999.5536645613319
1735876800000,1019.3734721432777,1011.9387919215467,3,999.5536645613319
1735880400000,1016.202881300728,1015.1646579446274,3,999.5536645613319
1735884000000,1015.9979859647268,1013.3433701944251,3,999.5536645613319
1735887600000,1018.4301679806846,1015.4834345846559,3,999.5536645613319
1735891200000,1015.7536398165913,1013.8483444731269,3,999.5536645613319
1735894800000,1016.2562875860399,1014.1070582699255,3,999.519459648972
1735898400000,1020.0143910454151,1015.9807772081316,3,999.519459648972
1735902000000,1020.9293818298811,1017.9470591428767,3,999.519459648972
1735905600000,1024.3275108232376,1020.4515828834823,3,999.519459648972
1735909200000,1026.015757469811,1023.8747930540774,2,1016.6528539611116
1735912800000,1025.3395630382358,1024.912759011794,2,1016.6528539611116
1735916400000,1029.335770667365,1025.3268815530141,2,1016.6528539611116
1735920000000,1032.2515128277603,1028.4864189311133,2,1016.6528539611116
1735923600000,1033.8516467249638,1030.6457577181498,3,1016.5395723548045
1735927200000,1032.5176288937048,1031.7156395884936,3,1016.5395723548045
1735930800000,1033.609855180506,1031.9040782840773,3,1016.5395723548045
1735934400000,1035.8804359167061,1032.9806529210352,3,1016.5395723548045
1735938000000,1035.0044171265963,1033.0127341314198,3,1016.5395723548045
1735941600000,1032.6394171086633,1031.4727820955814,3,1016.5395723548045
1735945200000,1033.59345355308,1031.7509992792425,3,1016.5395723548045
1735948800000,1032.8692973104219,1031.8576477272793,3,1016.5395723548045
1735952400000,1031.026099643705,1029.9600341521336,3,1016.5072259559942
1735956000000,1034.2891454489563,1028.9315096568487,3,1016.5072259559942
1735959600000,1034.268027053749,1032.263813049832,3,1016.5072259559942
1735963200000,1032.0895529381826,1031.4029312509504,3,1016.5072259559942
1735966800000,1030.9538440309832,1029.131821930397,3,1016.5072259559942
1735970400000,1030.826926363538,1030.0347748304566,3,1016.5072259559942
1735974000000,1031.0885869851163,1030.119144859049,3,1016.5072259559942
1735977600000,1030.1929598777338,1029.5955636973656,3,1016.5072259559942
1735981200000,1027.1301286027876,1026.5283839151864,3,1016.4751368059291
1735984800000,1027.742665092237,1026.846686086276,3,1016.4751368059291
1735988400000,1027.49784657025,1025.943840597426,3,1016.4751368059291
1735992000000,1027.680110677346,1026.664138424355,3,1016.4751368059291
1735995600000,1031.082181332045,1027.4522838409189,3,1016.4751368059291
1735999200000,1033.1827519780225,1030.2962601160393,3,1016.4751368059291
1736002800000,1034.0506491255,1031.6867605486332,3,1016.4751368059291
1736006400000,1027.1439975682579,1025.8065819662258,3,1016.4751368059291
1736010000000,1029.5747090907,1026.8499441383922,3,1016.443350498506
1736013600000,1029.8739790444654,1028.082903214701,3,1016.443350498506
1736017200000,1029.4785646577639,1028.6369432665006,3,1016.443350498506
1736020800000,1030.7266090348273,1029.1419954921357,3,1016.443350498506
1736024400000,1032.2929040863135,1030.1427216916145,3,1016.443350498506
1736028000000,1031.7969742399107,1030.8459576522012,3,1016.443350498506
1736031600000,1031.7720486018834,1030.474338592391,3,1016.443350498506
1736035200000,1030.265292696707,1029.7613907690445,3,1016.443350498506
1736038800000,1028.4833273185493,1028.2736318410261,3,1016.4112573526442
1736042400000,1026.4270224393094,1024.9773604104134,3,1016.4112573526442
1736046000000,1027.207883080889,1025.7527468217497,3,1016.4112573526442
1736049600000,1026.5320740807053,1025.0385196434581,3,1016.4112573526442
1736053200000,1029.7675049923907,1026.418063337678,3,1016.4112573526442
1736056800000,1028.7740320502141,1027.6761264045674,3,1016.4112573526442
1736060400000,1031.106647178298,1027.45365193498,3,1016.4112573526442
1736064000000,1030.7822314556977,1030.0289103160171,3,1016.4112573526442
1736067600000,1028.2388046980936,1025.5288979405657,3,1016.3791084116692
1736071200000,1025.1016868291174,1024.7814978960018,3,1016.3791084116692
1736074800000,1025.123856178426,1023.1048996285272,3,1016.3791084116692
1736078400000,1024.6876509920082,1023.6943387622891,3,1016.3791084116692
1736082000000,1025.521366833332,1023.124783602498,3,1016.3791084116692
1736085600000,1026.8426084157727,1024.845624186366,3,1016.3791084116692
1736089200000,1028.0650462412414,1022.9398535927041,3,1016.3791084116692
1736092800000,1027.8423274299403,1025.8823315718107,3,1016.3791084116692
1736096400000,1027.1059520358306,1025.7521681286364,3,1016.3472477909319
1736100000000,1027.9734928825578,1026.3860411211174,3,1016.3472477909319
1736103600000,1030.37658080904,1025.9794154262033,3,1016.3472477909319
1736107200000,1028.9954558771399,1028.4133577891103,3,1016.3472477909319
1736110800000,1029.1157398401165,1027.8187827698541,3,1016.3472477909319
1736114400000,1029.8608535146745,1028.433191164779,3,1016.3472477909319
1736118000000,1031.4028627837085,1028.4026248310056,3,1016.3472477909319
1736121600000,1030.7940710517266,1030.2393042621384,3,1016.3472477909319
1736125200000,1026.9496423856729,1026.5667243748744,3,1016.3150879483552
1736128800000,1032.126780555486,1025.2958181637896,3,1016.3150879483552
1736132400000,1031.027473651191,1030.3646065969149,3,1016.3150879483552
1736136000000,1033.777551881856,1030.241183843028,3,1016.3150879483552
1736139600000,1033.556571767736,1032.5148877608783,3,1016.3150879483552
1736143200000,1032.4282935317274,1031.8129505596146,3,1016.3150879483552
1736146800000,1031.3043396323467,1030.2082059982922,3,1016.3150879483552
1736150400000,1029.0772054107358,1028.6618973719505,3,1016.3150879483552
1736154000000,1027.57961339654,1027.2023523785622,3,1016.2830968171858
1736157600000,1028.5214707386467,1026.8317960142488,3,1016.2830968171858
1736161200000,1028.5073660252567,1026.6929135169014,3,1016.2830968171858
1736164800000,1031.3427844253524,1028.0884719587784,3,1016.2830968171858
1736168400000,1030.7248853084916,1029.4379817714425,3,1016.2830968171858
1736172000000,1031.5891766273937,1027.0028313589912,3,1016.2830968171858
1736175600000,1035.0187162794523,1026.6348862855543,3,1016.2830968171858
1736179200000,1036.9786769379903,1033.0126226746313,3,1016.2830968171858
1736182800000,1038.244677662073,1034.9555931433968,3,1016.2503207903122
1736186400000,1033.4497073070734,1031.5081890261276,3,1016.2503207903122
1736190000000,1034.7953497786045,1032.055634036558,3,1016.2503207903122
1736193600000,1034.8852105529174,1034.060062490985,3,1016.2503207903122
1736197200000,1034.3863310708887,1033.317487321079,3,1016.2503207903122
1736200800000,1033.2809967770345,1032.0153687060406,3,1016.2503207903122
1736204400000,1033.437551695407,1032.4563219673717,3,1016.2503207903122
1736208000000,1033.0809671599468,1031.514840556647,3,1016.2503207903122
1736211600000,1030.966229587589,1030.817891278144,3,1016.2179171246542
1736215200000,1032.629131845307,1029.3192707721278,3,1016.2179171246542
1736218800000,1029.137895239897,1028.9340182282135,3,1016.2179171246542
1736222400000,1030.265940155325,1028.834915736109,3,1016.2179171246542
1736226000000,1029.8376784616844,1029.4821047609978,3,1016.2179171246542
1736229600000,1031.1480791405036,1029.000158128638,3,1016.2179171246542
1736233200000,1033.6941453063096,1030.4529485097705,3,1016.2179171246542
1736236800000,1031.9539816435158,1031.021309570351,3,1016.2179171246542
1736240400000,1036.6198884049454,1031.8879383532867,3,1016.1856306417303
1736244000000,1036.6184182682366,1034.446287917458,3,1016.1856306417303
1736247600000,1036.667394927612,1034.6822651876978,3,1016.1856306417303
1736251200000,1033.2118949804992,1030.8316694301982,3,1016.1856306417303
1736254800000,1032.3210634311781,1031.4083497368351,3,1016.1856306417303
1736258400000,1033.7710982438534,1031.6873667682673,3,1016.1856306417303
1736262000000,1028.4938453899458,1025.0786028086598,2,1018.8252655840947
1736265600000,1017.7578910682226,1016.1160570847594,1,1021.2247397243162
1736269200000,1017.2884891503674,1014.1779753724016,3,1020.9603568658025
1736272800000,1016.9681760719628,1014.2758900620141,2,1015.8002552300433
