strategy,year,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
BASE,2022,10,-56.04066162901836,2943.9593383709816,-1.868022054300611,1.9088425802064268,1.9088425802064268,0.0,0.0,-0.8841861668742232,1.1439044416137936,0.0,10,355.6666666666667,-2.011260147759483,10.136986301369863,7.815970093361102e-13
BASE,2023,59,496.42120788740203,3496.421207887402,16.54737359624674,6.907333561739392,8.13777584755071,3.031849313500913,18.64406779661017,-0.1180763836427112,10.096927726023015,0.0,24,277.6666666666667,1.2971138774937663,78.03652968036529,1.6484591469634324e-12
BASE,2024,48,673.4970669777249,3673.497066977725,22.449902232590823,12.1729646019335,12.663112123076436,4.867051975870085,33.33333333333333,0.21081810759644634,9.97418053822524,0.0,18,250.16666666666666,1.1911173285051024,62.75045537340619,1.1368683772161603e-12
BASE,2025,41,-23.57288834371502,2976.427111656285,-0.7857629447905023,5.171153941219087,5.499476955933491,0.834615389367044,9.75609756097561,-0.3461675451950997,5.776409315177257,0.0,22,184.16666666666666,-0.05327590954941372,53.37899543378995,8.029132914089132e-13
BASE,2026,9,21.259284321747145,3021.259284321747,0.7086428107249132,0.48727949561963024,0.6625370958658561,2.5461311071696824,55.55555555555556,1.0136428676338989,1.1212816648877328,0.0,4,227.83333333333334,0.8886516001239305,15.22633744855967,8.846257060213247e-13
B,2022,5,-27.23956106866899,2972.760438931331,-0.9079853689556328,1.1857542811995025,1.1901115610735036,0.0,0.0,-0.9596977574219654,0.5727337721040342,0.0,5,56.666666666666664,-1.4016755871775772,3.9269406392694064,3.730349362740526e-13
B,2023,42,208.29627612947434,3208.2962761294743,6.9432092043158145,5.726621042640867,6.604544553962166,2.2650662526951364,21.428571428571427,-0.057897943481914425,7.108511680917285,0.0,18,273.3333333333333,0.8404817240584544,77.94520547945206,7.389644451905042e-13
B,2024,38,530.2265310192497,3530.2265310192497,17.67421770064166,9.094526288744476,9.876456461808225,5.51537800237586,34.21052631578947,2.241052088258766,6.930763688313958,0.0,14,253.5,1.305469292069398,61.338797814207645,7.958078640513122e-13
B,2025,27,37.090710177995334,3037.0907101779953,1.2363570059331863,3.626178475033537,4.041368164726333,1.4530431495450067,14.814814814814813,-0.12326615496452115,3.937131738019912,0.0,13,172.16666666666666,0.23500987466169035,46.57534246575342,7.105427357601002e-15
B,2026,7,14.204510090290114,3014.20451009029,0.4734836696763445,0.4510184707495979,0.4999773500235283,2.184424676446131,57.14285714285714,1.7643394598826745,0.7142194288198086,0.0,3,227.83333333333334,0.8293883608815179,15.22633744855967,7.851497230149107e-13
B_SAFE,2022,5,-26.452556162197197,2973.547443837803,-0.8817518720732442,1.1595943205139458,1.1708559904773486,0.0,0.0,-0.9472097874158741,0.5735215648032054,0.0,5,56.666666666666664,-1.3986941946090399,3.9269406392694064,1.7763568394002505e-13
B_SAFE,2023,42,170.00979712785966,3170.0097971278597,5.666993237595319,4.874366842172417,5.560233988318175,2.276171886329513,19.047619047619047,-0.13420495361886062,5.870185677110663,0.0,18,271.5,0.8158246705740118,77.71689497716895,1.7621459846850485e-12
B_SAFE,2024,38,484.88429550153614,3484.884295501536,16.162809850051207,7.495938386753787,8.173754919077558,6.875816876385179,34.21052631578947,2.175610950398692,5.785374965172004,0.0,14,236.0,1.3842180409386589,61.338797814207645,2.2737367544323206e-13
B_SAFE,2025,27,25.018845390984552,3025.0188453909846,0.8339615130328104,3.5672774924660144,3.6899660055379924,1.4006457805039658,18.51851851851852,-0.25196498673213635,3.5250473892837655,0.0,13,174.66666666666666,0.1806131681180577,46.57534246575342,1.4210854715202004e-13
B_SAFE,2026,7,14.204510090290114,3014.20451009029,0.4734836696763445,0.4510184707495979,0.4999773500235283,2.184424676446131,57.14285714285714,1.7643394598826745,0.7142194288198086,0.0,3,227.83333333333334,0.8293883608815179,15.22633744855967,7.851497230149107e-13
B_REGIME,2022,0,0.0,3000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0
B_REGIME,2023,20,-31.98551236526373,2968.0144876347363,-1.0661837455087864,6.891938736677483,7.038591585120734,0.8548492306606157,20.0,-0.06517938332218735,10.325785061576612,0.0,14,320.8333333333333,-0.1601335887762871,64.9771689497717,1.2470025012589758e-12
