strategy,symbol,direction,entry_time,exit_time,entry,exit,qty,entries,gross_pnl,fees,funding,net_pnl,initial_risk,r,holding_hours,reason
DON55,LINKUSDT,1,1641355200000,1641423600000,25.588674299999997,23.554748611995713,3.6434342846225722,1,-7.410474584049364,0.08952541595063582,0.019162518837936033,-7.519162518837936,7.5,-1.0025550025117247,19.0,STOP
DON55,DOGEUSDT,-1,1641412800000,1641502800000,0.159632096,0.161961431,967.1046874925495,1,-2.252710797240446,0.1555073037144809,0.040750239484817485,-2.448968340439744,7.49022630134868,-0.32695518692122644,25.0,STOP
DON55,BNBUSDT,-1,1641412800000,1641664800000,492.362247,433.07713117410003,0.42494151077060743,1,25.19270668526839,0.1966288037439568,0.0,24.99607788152443,7.4914817935605615,3.336599963842969,70.0,TARGET
DON55,ADAUSDT,-1,1641672000000,1641985200000,1.14335689,1.238971327067,79.98982423853725,1,-7.648182015656013,0.09528100768084857,-0.06333587755062646,-7.680127145786235,7.743463023336861,-0.991820729645154,87.0,STOP
DON55,BTCUSDT,-1,1641528000000,1641996000000,41777.433009,43886.384824,0.00347212536372118,1,-7.322545087727319,0.14871775732557502,-0.19800948906918844,-7.273253355983705,7.5957393832984295,-0.9575438267374196,130.0,STOP
DON55,BCHUSDT,-1,1641427200000,1641999600000,399.330165,381.631598,0.42500957045935783,1,7.5220603584161765,0.1659581117189064,-0.32212725070158815,7.678229497398858,7.506292065177774,1.0229057743461267,159.0,STOP
DON55,DOGEUSDT,1,1642147200000,1642341600000,0.196248857,0.17658015277147143,380.66485885145653,1,-7.487184518943873,0.07096145119019275,0.029724625311519638,-7.587870595445586,7.558145970134066,-1.0039327932311677,54.0,STOP
DON55,ADAUSDT,1,1642464000000,1642507200000,1.60088012,1.4743805302497144,58.5863777443012,1,-7.411152749609367,0.09008419105885757,0.014244288897084616,-7.515481229565309,7.501236940668225,-1.0018989253385477,12.0,STOP
DON55,LINKUSDT,-1,1642579200000,1642834800000,21.5055464,16.14138736392,4.7626206626699235,1,25.54745466308219,0.0896490323151057,-0.07502703776687242,25.532832668533953,7.444870831446484,3.429587060219433,71.0,TARGET
DON55,DOTUSDT,-1,1642723200000,1642834800000,22.9671078,17.549871182339995,4.740416557517918,1,25.67995815834785,0.096033679014245,0.14547444084687633,25.438450038486728,7.491688248256953,3.3955564080506613,31.0,TARGET
DON55,BTCUSDT,-1,1642723200000,1642845600000,40649.861381999996,34665.1127969146,0.004240075513862079,1,25.375785932241325,0.15967058892158525,-0.04285879804969636,25.258974141369436,7.492722515525167,3.3711343358881916,34.0,TARGET
DON55,ADAUSDT,-1,1642838400000,1642932000000,1.03119055,1.160424287165,61.34034110492639,1,-7.927241519965494,0.0672172008411594,0.02250155780104844,-8.016960278607703,7.994458720806654,-1.0028146443163795,26.0,STOP
DON55,BCHUSDT,-1,1642838400000,1643227200000,288.773342,308.528245,0.3218505115929871,1,-6.35812563701984,0.09612091067562656,-0.12564701795903727,-6.328599529736429,7.994079156617188,-0.791660853707942,108.0,STOP
DON55,XRPUSDT,-1,1642852800000,1643227200000,0.58672393,0.646560697179,132.68034453083874,1,-7.939162884921303,0.08181631461934837,-0.009707133447897764,-8.011272066092753,8.020979199540651,-0.9987897819946404,104.0,STOP
DON55,SOLUSDT,-1,1643011200000,1643227200000,86.693984,103.5307481952,0.46958269338948094,1,-7.9062530787455945,0.04466312104675736,0.027200837159684167,-7.978117036952036,7.950916199792351,-1.0034210946859679,60.0,STOP
DON55,BTCUSDT,1,1643990400000,1644303600000,39493.564516,45453.619338145196,0.004433828115160141,1,26.42585863832315,0.18832060603809325,0.13677756326962506,26.10076046901543,7.7890856409739895,3.350940235104624,87.0,TARGET
DON55,XRPUSDT,1,1644307200000,1644325200000,0.89586868,0.834818159396,132.36438595348065,1,-8.080914671888774,0.11454065038721087,0.011859232428122096,-8.207314554704107,8.195455322275984,-1.0014470498540682,5.0,STOP
DON55,LTCUSDT,1,1644033600000,1644541200000,121.426417,129.6482367142857,1.0946350282779167,1,8.99989185544306,0.13741755533420263,0.09346068070993878,8.769013619398919,7.863464643823591,1.1151590318761841,141.0,STOP
