time,spot,futures,equity
1640998800000,3000.0,1000.0,5000.0
1641002400000,3000.0,1000.0,5000.0
1641006000000,3000.0,1000.0,5000.0
1641009600000,3000.0,1000.0,5000.0
1641013200000,3000.0,1000.0,5000.0
1641016800000,3000.0,1000.0,5000.0
1641020400000,3000.0,1000.0,5000.0
1641024000000,3000.0,1000.0,5000.0
1641027600000,3000.0,1000.0,5000.0
1641031200000,3000.0,1000.0,5000.0
1641034800000,3000.0,1000.0,5000.0
1641038400000,3000.0,1000.0,5000.0
1641042000000,3000.0,1000.0,5000.0
1641045600000,3000.0,1000.0,5000.0
1641049200000,3000.0,1000.0,5000.0
1641052800000,3000.0,1000.0,5000.0
1641056400000,3000.0,1000.0,5000.0
1641060000000,3000.0,1000.0,5000.0
1641063600000,3000.0,1000.0,5000.0
1641067200000,3000.0,1000.0,5000.0
1641070800000,3000.0,1000.0,5000.0
1641074400000,3000.0,1000.0,5000.0
1641078000000,3000.0,1000.0,5000.0
1641081600000,3000.0,1000.0,5000.0
1641085200000,3000.0,1000.0,5000.0
1641088800000,3000.0,1000.0,5000.0
1641092400000,3000.0,1000.0,5000.0
1641096000000,3000.0,1000.0,5000.0
1641099600000,3000.0,1000.0,5000.0
1641103200000,3000.0,1000.0,5000.0
1641106800000,3000.0,1000.0,5000.0
1641110400000,3000.0,1000.0,5000.0
1641114000000,3000.0,1000.0,5000.0
1641117600000,3000.0,1000.0,5000.0
1641121200000,3000.0,1000.0,5000.0
1641124800000,3000.0,1000.0,5000.0
1641128400000,3000.0,1000.0,5000.0
1641132000000,3000.0,1000.0,5000.0
1641135600000,3000.0,1000.0,5000.0
1641139200000,3000.0,1000.0,5000.0
1641142800000,3000.0,1000.0,5000.0
1641146400000,3000.0,1000.0,5000.0
1641150000000,3000.0,1000.0,5000.0
1641153600000,3000.0,1000.0,5000.0
1641157200000,3000.0,1000.0,5000.0
1641160800000,3000.0,1000.0,5000.0
1641164400000,3000.0,1000.0,5000.0
1641168000000,3000.0,1000.0,5000.0
1641171600000,3000.0,1000.0,5000.0
1641175200000,3000.0,1000.0,5000.0
1641178800000,3000.0,1000.0,5000.0
1641182400000,3000.0,1000.0,5000.0
1641186000000,3000.0,1000.0,5000.0
1641189600000,3000.0,1000.0,5000.0
1641193200000,3000.0,1000.0,5000.0
1641196800000,3000.0,1000.0,5000.0
1641200400000,3000.0,1000.0,5000.0
1641204000000,3000.0,1000.0,5000.0
1641207600000,3000.0,1000.0,5000.0
1641211200000,3000.0,1000.0,5000.0
1641214800000,3000.0,1000.0,5000.0
1641218400000,3000.0,1000.0,5000.0
1641222000000,3000.0,1000.0,5000.0
1641225600000,3000.0,1000.0,5000.0
1641229200000,3000.0,1000.0,5000.0
1641232800000,3000.0,1000.0,5000.0
1641236400000,3000.0,1000.0,5000.0
1641240000000,3000.0,1000.0,5000.0
1641243600000,3000.0,1000.0,5000.0
1641247200000,3000.0,1000.0,5000.0
1641250800000,3000.0,1000.0,5000.0
1641254400000,3000.0,1000.0,5000.0
1641258000000,3000.0,1000.0,5000.0
1641261600000,3000.0,1000.0,5000.0
1641265200000,3000.0,1000.0,5000.0
1641268800000,3000.0,1000.0,5000.0
1641272400000,3000.0,1000.0,5000.0
1641276000000,3000.0,1000.0,5000.0
1641279600000,3000.0,1000.0,5000.0
1641283200000,3000.0,1000.0,5000.0
1641286800000,3000.0,1000.0,5000.0
1641290400000,3000.0,1000.0,5000.0
1641294000000,3000.0,1000.0,5000.0
1641297600000,3000.0,1000.0,5000.0
1641301200000,3000.0,1000.0,5000.0
1641304800000,3000.0,1000.0,5000.0
1641308400000,3000.0,1000.0,5000.0
1641312000000,3000.0,1000.0,5000.0
1641315600000,3000.0,1000.0,5000.0
1641319200000,3000.0,1000.0,5000.0
1641322800000,3000.0,1000.0,5000.0
1641326400000,3000.0,1000.0,5000.0
1641330000000,3000.0,1000.0,5000.0
1641333600000,3000.0,1000.0,5000.0
1641337200000,3000.0,1000.0,5000.0
1641340800000,3000.0,1000.0,5000.0
1641344400000,3000.0,1000.0,5000.0
1641348000000,3000.0,1000.0,5000.0
1641351600000,3000.0,1000.0,5000.0
1641355200000,3000.0,1000.0,5000.0
1641358800000,3000.0,1000.0,5000.0
1641362400000,3000.0,1000.0,5000.0
1641366000000,3000.0,1000.0,5000.0
1641369600000,3000.0,1000.0,5000.0
1641373200000,3000.0,1000.0,5000.0
1641376800000,3000.0,1000.0,5000.0
1641380400000,3000.0,1000.0,5000.0
1641384000000,3000.0,1000.0,5000.0
1641387600000,3000.0,1000.0,5000.0
1641391200000,3000.0,1000.0,5000.0
1641394800000,3000.0,1000.0,5000.0
1641398400000,3000.0,1000.0,5000.0
1641402000000,3000.0,1000.0,5000.0
1641405600000,3000.0,1000.0,5000.0
1641409200000,3000.0,1000.0,5000.0
1641412800000,3000.0,1000.0,5000.0
1641416400000,3000.0,1001.3997005087115,5001.399700508711
1641420000000,3000.0,1001.8600258454719,5001.860025845472
1641423600000,3000.0,1019.0113555792581,5019.011355579258
1641427200000,3000.0,1017.8396319642567,5017.839631964256
1641430800000,3000.0,1017.0855600612524,5017.085560061252
1641434400000,3000.0,1019.4257988320558,5019.425798832056
1641438000000,3000.0,1021.378873825139,5021.378873825139
1641441600000,3000.0,1024.5278203079529,5024.527820307952
1641445200000,3000.0,1021.8075484554109,5021.807548455411
1641448800000,3000.0,1021.1546072064912,5021.154607206491
1641452400000,3000.0,1019.9334944118862,5019.933494411886
1641456000000,3000.0,1018.812344219454,5018.812344219454
1641459600000,3000.0,1020.6935581561619,5020.693558156162
1641463200000,3000.0,1024.9591231471077,5024.959123147108
1641466800000,3000.0,1021.2758857639615,5021.275885763962
1641470400000,3000.0,1022.578976234461,5022.578976234461
1641474000000,3000.0,1021.3425863951429,5021.342586395143
1641477600000,3000.0,1018.5802694749556,5018.5802694749555
1641481200000,3000.0,1020.4463680921119,5020.446368092112
1641484800000,3000.0,1019.6324527243949,5019.632452724395
1641488400000,3000.0,1018.6925650862289,5018.692565086229
1641492000000,3000.0,1016.7752868622367,5016.7752868622365
1641495600000,3000.0,1012.3172211170065,5012.317221117007
1641499200000,3000.0,1012.8649600411493,5012.864960041149
1641502800000,3000.0,1012.062240780392,5012.062240780392
1641506400000,3000.0,1012.5736927282505,5012.5736927282505
1641510000000,3000.0,1012.0893414358737,5012.089341435874
1641513600000,3000.0,1012.7686587062516,5012.768658706252
1641517200000,3000.0,1015.11232580712,5015.11232580712
1641520800000,3000.0,1014.5897609523905,5014.589760952391
1641524400000,3000.0,1016.480763662212,5016.480763662212
1641528000000,3000.0,1024.265010270781,5024.265010270781
1641531600000,3000.0,1026.218527381598,5026.218527381598
1641535200000,3000.0,1024.2077276853133,5024.207727685313
1641538800000,3000.0,1030.9929714955854,5030.992971495585
1641542400000,3000.0,1026.588929583024,5026.588929583024
1641546000000,3000.0,1018.7578120973232,5018.757812097323
1641549600000,3000.0,1015.2610046485792,5015.261004648579
1641553200000,3000.0,1017.1990315673527,5017.199031567353
1641556800000,3000.0,1017.7783829053142,5017.778382905314
1641560400000,3000.0,1016.2528166487022,5016.252816648703
1641564000000,3000.0,1026.8510593405267,5026.851059340526
1641567600000,3000.0,1022.077431128292,5022.077431128292
1641571200000,3000.0,1030.058005458813,5030.058005458814
1641574800000,3000.0,1017.9196651814319,5017.919665181432
1641578400000,3000.0,1019.9434788066399,5019.94347880664
1641582000000,3000.0,1024.9045122338753,5024.904512233876
1641585600000,3000.0,1023.0667510704295,5023.06675107043
1641589200000,3000.0,1021.5129302309825,5021.512930230982
1641592800000,3000.0,1022.2927416729583,5022.292741672958
1641596400000,3000.0,1027.0247107202779,5027.024710720278
1641600000000,3000.0,1026.5000290645182,5026.5000290645185
1641603600000,3000.0,1020.2727044576999,5020.2727044577005
1641607200000,3000.0,1022.4706662155685,5022.470666215569
1641610800000,3000.0,1023.0531668128949,5023.053166812895
1641614400000,3000.0,1023.1492161867957,5023.1492161867955
1641618000000,3000.0,1021.6250738991973,5021.625073899198
1641621600000,3000.0,1021.2941614169544,5021.294161416954
1641625200000,3000.0,1021.5593759907099,5021.55937599071
1641628800000,3000.0,1021.6573609417576,5021.657360941757
1641632400000,3000.0,1021.907424463583,5021.907424463583
1641636000000,3000.0,1019.1245501081597,5019.124550108159
1641639600000,3000.0,1022.1065837485137,5022.106583748514
1641643200000,3000.0,1021.7983678869617,5021.798367886962
1641646800000,3000.0,1023.5269300826802,5023.52693008268
1641650400000,3000.0,1022.8252318968205,5022.825231896821
1641654000000,3000.0,1027.3118348873147,5027.311834887315
1641657600000,3000.0,1030.5874961063494,5030.587496106349
1641661200000,3000.0,1035.4048255783575,5035.404825578357
1641664800000,3000.0,1046.8092582562472,5046.809258256248
1641668400000,3000.0,1051.7562614540236,5051.756261454024
1641672000000,3000.0,1049.4304585303869,5049.430458530387
1641675600000,3000.0,1049.031400430692,5049.031400430692
1641679200000,3000.0,1036.489146857934,5036.4891468579335
1641682800000,3000.0,1030.5171613990558,5030.517161399056
1641686400000,3000.0,1037.2612299267573,5037.261229926758
1641690000000,3000.0,1032.1464833356363,5032.146483335637
1641693600000,3000.0,1034.0199469495271,5034.019946949527
1641697200000,3000.0,1029.2137666047797,5029.21376660478
1641700800000,3000.0,1033.4124982217418,5033.412498221742
1641704400000,3000.0,1029.1274935817924,5029.127493581793
1641708000000,3000.0,1033.499825655135,5033.499825655135
1641711600000,3000.0,1030.3134925255529,5030.313492525553
1641715200000,3000.0,1032.8588056757035,5032.8588056757035
1641718800000,3000.0,1035.7373476601767,5035.737347660177
1641722400000,3000.0,1037.7376752297728,5037.737675229773
1641726000000,3000.0,1034.5308681378147,5034.530868137815
1641729600000,3000.0,1031.3276651941048,5031.327665194105
1641733200000,3000.0,1033.6157345463516,5033.615734546352
1641736800000,3000.0,1038.1062212877112,5038.106221287711
1641740400000,3000.0,1035.7074909828434,5035.707490982843
1641744000000,3000.0,1035.3331431385814,5035.333143138581
1641747600000,3000.0,1024.575859543126,5024.575859543126
1641751200000,3000.0,1024.6821345046117,5024.682134504612
1641754800000,3000.0,1026.8062961954722,5026.806296195472
1641758400000,3000.0,1019.0983698034759,5019.098369803476
1641762000000,3000.0,1021.5076047277668,5021.507604727767
1641765600000,3000.0,1023.36179441238,5023.36179441238
1641769200000,3000.0,1025.352383632694,5025.352383632694
1641772800000,3000.0,1029.3099706146602,5029.30997061466
1641776400000,3000.0,1033.0418866466966,5033.041886646697
1641780000000,3000.0,1031.042272592583,5031.042272592583
1641783600000,3000.0,1030.6645292845276,5030.664529284528
1641787200000,3000.0,1030.1343934532797,5030.13439345328
1641790800000,3000.0,1025.8063019299068,5025.806301929907
1641794400000,3000.0,1026.357963464267,5026.3579634642665
1641798000000,3000.0,1028.3052175463422,5028.305217546342
1641801600000,3000.0,1026.8493483739546,5026.849348373955
1641805200000,3000.0,1030.213256828832,5030.2132568288325
1641808800000,3000.0,1029.9299736075718,5029.929973607572
1641812400000,3000.0,1030.5423537880163,5030.542353788016
1641816000000,3000.0,1035.3037296085552,5035.303729608555
1641819600000,3000.0,1047.8311645387403,5047.83116453874
