strategy,symbol,direction,entry_time,exit_time,entry,exit,qty,entries,gross_pnl,fees,funding,net_pnl,initial_risk,r,holding_hours,reason
KELTNER,ADAUSDT,1,1735790400000,1735909200000,0.94276532,1.0923666493794286,115.36942954267177,1,17.25942002933002,0.23479201435135882,0.044819378093893275,16.979808636884766,6.051845488780016,2.80572408339984,33.0,TARGET
KELTNER,LINKUSDT,1,1735804800000,1736262000000,22.3413968,22.867271399999996,5.247706727675751,1,2.7596356763337844,0.23724183226240075,0.1946058463496716,2.327787997721712,6.029080796082276,0.38609334929369654,127.0,STOP
KELTNER,XRPUSDT,1,1735747200000,1736265600000,2.2288365,2.284653385,44.82297987273122,1,2.5018791129135547,0.20230806627113093,0.19349903718871406,2.1060720094537095,6.0,0.35101200157561824,144.0,STOP
KELTNER,ADAUSDT,1,1735920000000,1736272800000,1.08655154,1.02528446,82.83682407131401,1,-5.075170327323133,0.1749377871994675,0.10757723235955798,-5.357685346882159,6.193400912441664,-0.865063544670478,98.0,STOP
KELTNER,BCHUSDT,-1,1736265600000,1736517600000,446.43197999999995,446.242585,0.28670501833735335,1,0.054300496947983994,0.2559342775276139,-0.08208677060153834,-0.11954700997809158,6.106497644314894,-0.01957701729229176,70.0,STOP
KELTNER,ADAUSDT,-1,1736280000000,1736632800000,1.0083946,1.0056530300000002,82.0448663426498,1,0.2249317442189978,0.1652422686110806,-0.07455819133652611,0.13424766694444332,6.124798817031757,0.021918706386098632,98.0,STOP
KELTNER,ADAUSDT,1,1736654400000,1736737200000,1.0258151199999999,0.9572832623565712,86.97074311688534,1,-5.960266586429586,0.17247153998744422,0.02576819350488783,-6.158506319921918,6.1327381264170295,-1.0042017436540933,23.0,STOP
KELTNER,XRPUSDT,1,1736640000000,1736751600000,2.5776456599999995,2.4512597354611425,46.75737457287621,1,-5.909474014402604,0.2351384132671348,0.035379606550362444,-6.179992034220101,6.144612427669738,-1.0057578255694444,31.0,STOP
KELTNER,ETHUSDT,-1,1736265600000,1736769600000,3459.133274,3082.9347828215427,0.045152891511174326,1,16.986449658848343,0.29539328922838215,-0.2377951911732472,16.92885156079321,6.105268622506732,2.772826653095319,140.0,TARGET
KELTNER,BNBUSDT,-1,1736740800000,1736784000000,684.8788259999999,677.0760019999999,0.4838705997628461,1,3.775557128723923,0.6590098994742638,0.3126600953040156,2.803887133945644,6.097371526342204,0.4598517774146014,12.0,GAP_STOP
KELTNER,DOTUSDT,-1,1736755200000,1736805600000,6.3991582,6.402997694919999,18.76468274494481,1,-0.07204690407461511,0.2402283938194988,-0.0059904036236803175,-0.3062848942704336,6.098363327064893,-0.05022411388824987,14.0,STOP
KELTNER,ADAUSDT,-1,1736769600000,1736834400000,0.89316378,0.9596392182679998,91.18835462271335,1,-6.061785838482659,0.16895405685208892,-0.007115859356774185,-6.2236240359779735,6.2307398953347475,-0.9988579431213134,18.0,STOP
KELTNER,BCHUSDT,-1,1736784000000,1736848800000,415.39061599999997,437.98324836959995,0.2616778929008258,1,-5.911992433559915,0.22330907468487204,-6.889824844805159e-05,-6.135232609996339,6.135301508244788,-0.9999887701935503,18.0,STOP
KELTNER,XRPUSDT,1,1736884800000,1736985600000,2.66479792,3.165868686962285,34.792005887314915,1,17.433257074113225,0.2028605869164023,0.029557893529514757,17.200838593667306,6.064798696526979,2.836176343910212,28.0,TARGET
KELTNER,DOGEUSDT,1,1736913600000,1737162000000,0.363237812,0.43200845131279997,254.99596392207536,1,17.5362354611048,0.202784587468876,0.0637097130129693,17.269741160622956,6.098840002017981,2.831643583846888,69.0,TARGET
KELTNER,BNBUSDT,1,1736985600000,1737180000000,714.7986219999999,698.1433625,0.3083996756059999,1,-5.136476626933731,0.4357508496698977,0.007910308458484547,-5.580137785062113,6.211667562148071,-0.898331684564979,54.0,STOP
KELTNER,ADAUSDT,1,1736928000000,1737190800000,1.0508301199999999,1.0501996219279999,77.3063536109458,1,-0.04874150690505129,0.16242294817660016,0.07583004244781742,-0.2869944975294689,6.100205215032863,-0.0470466955475895,73.0,STOP
KELTNER,SOLUSDT,1,1737187200000,1737280800000,232.94968599999999,278.7851716169714,0.39165015362649985,1,17.95147498343208,0.20042103560172186,0.027531170300636523,17.723522777529723,6.233225566524241,2.8433950590067734,26.0,TARGET
KELTNER,BCHUSDT,-1,1737288000000,1737298800000,437.677236,462.14006805588565,0.25035720490552826,1,-6.12444625758489,0.2252757451690594,0.0,-6.34972200275395,6.34972200275395,-1.0,3.0,STOP
KELTNER,DOGEUSDT,-1,1737288000000,1737316800000,0.36271224199999996,0.3971203713451999,180.52424667591725,1,-6.2115016295697405,0.13716821012393574,-0.007005451536715387,-6.341664388156961,6.3486698396936765,-0.9988965481410114,8.0,STOP
KELTNER,BTCUSDT,1,1737172800000,1737331200000,103593.31872,100832.81399,0.0018860072574465449,1,-5.206331954995516,0.38554916990279053,0.09844308746897674,-5.690324212367283,6.282136844385954,-0.9057943743222426,44.0,STOP
KELTNER,SOLUSDT,1,1737316800000,1737334800000,269.551634,236.22981101959996,0.18638812274085215,1,-6.210792031619746,0.09427165405435875,-0.033486651357347665,-6.271577034316757,6.305063685674105,-0.9946889273405067,5.0,STOP
KELTNER,BCHUSDT,-1,1737331200000,1737356400000,427.29347,460.1250937962857,0.18369407260474668,1,-6.030974685366629,0.16301353008879493,0.0,-6.193988215455424,6.193988215455424,-1.0,7.0,STOP
