strategy,symbol,time,entry,qty,fee,stop,risk,pyramid
BASE,LINKUSDT,1641772800000,27.553769999999997,1.8128208934766445,0.04995004995004996,25.9880016,2.959051552439674,False
BASE,UNIUSDT,1659052800000,9.28464,5.379858556718403,0.04995004995004995,8.3044665,5.390137785304604,False
BASE,XRPUSDT,1663891200000,0.48634304999999994,102.70538450184486,0.04995004995004995,0.48034602000000004,0.7398538389248414,False
BASE,BNBUSDT,1667001600000,298.04894999999993,0.1675900886416475,0.04995004995004996,289.682415,1.5248959706843486,False
BASE,UNIUSDT,1667088000000,7.103549999999999,7.031702451598139,0.04995004995004995,6.825753000000001,2.0753068937207497,False
BASE,BNBUSDT,1667606400000,354.87735,0.14075299522511076,0.04995004995004996,286.53372,9.729996230751606,True
BASE,LINKUSDT,1667606400000,8.7193575,5.728638830332391,0.04995004995004996,7.639146900000001,6.303707427432836,False
BASE,XRPUSDT,1667606400000,0.5065531499999999,98.60771757129527,0.04995004995004996,0.45969461999999994,4.738534233164486,False
BASE,LINKUSDT,1667865600000,8.960477999999998,5.574484971677847,0.04995004995004996,7.559402400000001,7.923413519057516,True
BASE,LTCUSDT,1669248000000,79.049505,0.6318831465174888,0.04995004995004996,57.4698465,13.740225747743645,False
BASE,DOGEUSDT,1669852800000,0.10681337999999999,467.63851073760577,0.04995004995004996,0.085171482,10.230259282972398,False
BASE,LINKUSDT,1669852800000,7.676836499999999,6.506592911031772,0.04995004995004996,7.145311799999998,3.578079101848278,False
BASE,LTCUSDT,1672790400000,75.60778499999999,0.6606469155266216,0.04995004995004996,70.37118,3.579209500293279,False
BASE,LTCUSDT,1673222400000,78.709335,0.6346140511802058,0.04995004995004996,71.876178,4.454765138010073,True
BASE,LTCUSDT,1673481600000,84.12204,0.5937807731487486,0.04995004995004995,72.91449,6.769698939811099,True
BASE,ETHUSDT,1674259200000,1659.3592649999998,0.030102010458868265,0.04995004995004995,1398.1196790000001,7.976895076685868,False
