strategy,symbol,direction,trades,net_pnl,mean_r
BASE,ADAUSDT,1,5,-26.502063388413635,-0.88161358681215
BASE,BCHUSDT,1,6,0.591465669903604,-0.5663424302208623
BASE,BNBUSDT,1,2,61.07076760911346,4.470931502099061
BASE,BTCUSDT,1,8,-11.524482091610437,0.28412374848110233
BASE,DOGEUSDT,1,2,-13.045258683046274,-0.8281538977099916
BASE,DOTUSDT,1,1,-3.779695150227207,-1.049379183873241
BASE,ETHUSDT,1,3,29.48234345886364,0.2610054078408352
BASE,LINKUSDT,1,3,-9.990825818752882,-0.683938186230963
BASE,LTCUSDT,1,4,-10.569642303713207,-0.741439627340601
BASE,SOLUSDT,1,5,-13.844611042361544,-0.48553883063331255
BASE,UNIUSDT,1,5,-4.8477287926155075,-0.5088191652592637
BASE,XRPUSDT,1,5,-0.647820326079632,0.7732050299441291
B,ADAUSDT,1,2,-9.80093829034341,-0.6527543593843042
B,BCHUSDT,1,4,5.854887660080287,-0.3744546412779972
B,BNBUSDT,1,2,61.07076760911346,4.470931502099061
B,BTCUSDT,1,8,-11.524482091610437,0.28412374848110233
B,DOGEUSDT,1,1,-7.152922406040524,-0.6440782309743428
B,DOTUSDT,1,1,-3.779695150227207,-1.049379183873241
B,ETHUSDT,1,3,29.48234345886364,0.2610054078408352
B,LINKUSDT,1,1,-0.9934396915920036,-1.0
B,LTCUSDT,1,3,-8.252874873873951,-0.7370748464315171
B,SOLUSDT,1,4,-4.7108544009700335,0.27094987930046144
B,UNIUSDT,1,1,-5.42521149678989,-0.8892214683758914
B,XRPUSDT,1,3,5.233693104704669,1.6568524587169164
B_SAFE,ADAUSDT,1,2,-9.80093829034341,-0.6527543593843042
B_SAFE,BCHUSDT,1,4,-3.8608042076057547,-0.5127742897598664
B_SAFE,BNBUSDT,1,2,44.34182878783216,2.661939582805192
B_SAFE,BTCUSDT,1,8,-7.359326765340493,0.31240269730121145
B_SAFE,DOGEUSDT,1,1,-2.2341904656364724,-0.5337189835889954
B_SAFE,DOTUSDT,1,1,-3.601839266790499,-0.9999999999999999
B_SAFE,ETHUSDT,1,3,29.53686601933207,0.27915791484662944
B_SAFE,LINKUSDT,1,1,-0.9934396915920036,-1.0
B_SAFE,LTCUSDT,1,3,-8.252874873873951,-0.7370748464315171
B_SAFE,SOLUSDT,1,4,5.9197454900851865,0.36129375571567957
B_SAFE,UNIUSDT,1,1,-5.42521149678989,-0.8892214683758914
B_SAFE,XRPUSDT,1,3,5.233693104704669,1.6568524587169164
B_REGIME,BCHUSDT,1,3,-4.810900797680311,-0.06611395208924235
B_REGIME,BNBUSDT,1,1,-6.670385072486672,-0.1640828908970983
B_REGIME,BTCUSDT,1,4,63.68924583419922,1.3655636285493613
B_REGIME,DOGEUSDT,1,1,-10.79316156943423,-0.5337189835889954
B_REGIME,ETHUSDT,1,2,-4.09734794281416,-0.12199869562654037
B_REGIME,LTCUSDT,1,1,-19.74629734837193,-1.0000000000000002
B_REGIME,SOLUSDT,1,3,36.95559348567117,0.6079918407986596
B_REGIME,XRPUSDT,1,1,134.19048347476115,6.959422996195005
DON55,ADAUSDT,-1,12,72.04426467354682,0.765703592192136
DON55,ADAUSDT,1,15,52.05682892347195,0.33265737868940864
DON55,BCHUSDT,-1,13,78.31020849926759,0.7701694997691686
DON55,BCHUSDT,1,12,-65.07287457361625,-0.7098686942373836
DON55,BNBUSDT,-1,6,8.802011906593924,0.15503795893780517
DON55,BNBUSDT,1,12,11.096688267557184,0.1431302258857887
DON55,BTCUSDT,-1,11,4.083055768934106,0.00957853260054321
DON55,BTCUSDT,1,17,8.953070633068743,0.056711158702649436
DON55,DOGEUSDT,-1,9,48.25924725553728,0.7452396778336277
DON55,DOGEUSDT,1,13,35.021646080728274,0.3507008957853061
DON55,DOTUSDT,-1,8,-18.05620153722413,-0.23429609700737747
DON55,DOTUSDT,1,9,-53.392987936726726,-0.723866914555273
DON55,ETHUSDT,-1,10,38.77183333819769,0.4880274904681025
DON55,ETHUSDT,1,9,67.14384515531586,0.9482020786151231
DON55,LINKUSDT,-1,4,27.421638749665306,0.9236014582178413
DON55,LINKUSDT,1,15,83.86452973621184,0.636921480767495
DON55,LTCUSDT,-1,9,5.056350086017803,0.12105968386643563
DON55,LTCUSDT,1,12,28.38424139797275,0.2733454443429109
DON55,SOLUSDT,-1,7,6.004368453101343,0.06234635632871356
DON55,SOLUSDT,1,7,-21.494124557695137,-0.37152530064130335
DON55,UNIUSDT,-1,9,-32.669386353893536,-0.4671188868617948
DON55,UNIUSDT,1,9,37.07796172831288,0.44489319097010593
DON55,XRPUSDT,-1,10,-23.677056596516834,-0.23823245675765065
DON55,XRPUSDT,1,7,-4.93523100870606,-0.04938628167297632
KELTNER,ADAUSDT,-1,29,38.33790990619961,0.223794711814755
KELTNER,ADAUSDT,1,39,22.031381402990153,0.0963058156858931
KELTNER,BCHUSDT,-1,38,65.22128628817165,0.27536476223646145
KELTNER,BCHUSDT,1,34,-75.08524871585688,-0.3195519258550339
KELTNER,BNBUSDT,-1,29,-5.1213578414421335,-0.005518067301666588
KELTNER,BNBUSDT,1,39,52.670010901403,0.21951118224408672
KELTNER,BTCUSDT,-1,22,46.87875332379363,0.28238288242634346
KELTNER,BTCUSDT,1,26,-40.95729726962491,-0.22353407019392066
KELTNER,DOGEUSDT,-1,20,16.46820040373789,0.14792497943571684
KELTNER,DOGEUSDT,1,11,-1.4661878054310842,0.006875656190413365
KELTNER,DOTUSDT,-1,19,-15.819574027986363,-0.11598618287465366
KELTNER,DOTUSDT,1,12,18.53189091685173,0.21035945012658616
KELTNER,ETHUSDT,-1,9,47.834878562210555,0.8492802349911176
KELTNER,ETHUSDT,1,14,-14.837291068643864,-0.1521608374300504
KELTNER,LINKUSDT,-1,4,-1.714710005760093,-0.04444555428067409
KELTNER,LINKUSDT,1,13,26.413382130374696,0.33834052577996915
KELTNER,LTCUSDT,-1,6,-1.3846246727566323,-0.07747330677638188
KELTNER,LTCUSDT,1,9,-16.7028048935087,-0.2898226198354091
KELTNER,SOLUSDT,-1,6,1.113324274323805,0.04712472601622212
KELTNER,SOLUSDT,1,13,-5.521772860243515,-0.04124457007314263
KELTNER,UNIUSDT,-1,13,-0.8141784855866936,0.027057958991154648
KELTNER,UNIUSDT,1,15,31.034607538997125,0.3189686331388359
KELTNER,XRPUSDT,-1,10,5.604515709307727,0.09843915506647466
KELTNER,XRPUSDT,1,12,-18.508444159780545,-0.2222038792107783
DON55_TREND,ADAUSDT,-1,11,49.72395352823746,0.6226305686520084
DON55_TREND,ADAUSDT,1,5,-16.43655823937219,-0.42843279666759615
DON55_TREND,BCHUSDT,-1,7,36.722670177670146,0.6830737977230437
DON55_TREND,BCHUSDT,1,11,-70.60859726870025,-0.8666988997395328
DON55_TREND,BNBUSDT,-1,5,-36.41507800443881,-0.929664634966197
DON55_TREND,BNBUSDT,1,9,27.812571946338576,0.4289423430705153
DON55_TREND,BTCUSDT,-1,4,46.12765623879095,1.4999787427095772
DON55_TREND,BTCUSDT,1,12,8.896931779236256,0.12502895911126669
DON55_TREND,DOGEUSDT,-1,10,36.32909753669058,0.4709822977095225
DON55_TREND,DOGEUSDT,1,5,-2.9096784335498684,-0.04797453028561858
DON55_TREND,DOTUSDT,-1,10,-1.6652692557551987,-0.0377885338191396
DON55_TREND,DOTUSDT,1,1,-7.548228522373104,-1.0020650982182007
DON55_TREND,ETHUSDT,-1,7,47.33733607245947,0.875440434457049
DON55_TREND,ETHUSDT,1,6,17.851902822665654,0.447067889687617
DON55_TREND,LINKUSDT,-1,3,1.1626495476067245,0.0974166850010653
DON55_TREND,LINKUSDT,1,7,-12.606521259063669,-0.24184127700825458
DON55_TREND,LTCUSDT,-1,6,27.341089307199034,0.6051668938796593
DON55_TREND,LTCUSDT,1,8,-17.33008421428547,-0.28374747586147014
DON55_TREND,SOLUSDT,-1,8,7.712253830267075,0.1319068786992373
DON55_TREND,SOLUSDT,1,5,11.58135650586016,0.30341478697096813
DON55_TREND,UNIUSDT,-1,8,5.884632307711309,0.12572879894525496
DON55_TREND,UNIUSDT,1,2,2.9776403610757916,0.10954129905826715
DON55_TREND,XRPUSDT,-1,3,-25.32742950430238,-1.0000885864248454
DON55_TREND,XRPUSDT,1,8,17.410420752871612,0.3122252268155581
KELTNER_TREND,ADAUSDT,-1,19,21.839826048974295,0.19786432456447037
KELTNER_TREND,ADAUSDT,1,9,-14.16743326197898,-0.2595370658533452
KELTNER_TREND,BCHUSDT,-1,18,18.37671483422717,0.15031256584031727
KELTNER_TREND,BCHUSDT,1,17,-48.50834032038551,-0.43866529139948773
KELTNER_TREND,BNBUSDT,-1,11,16.193064181592614,0.25323954768601065
KELTNER_TREND,BNBUSDT,1,24,35.954681600872085,0.2627904511316226
KELTNER_TREND,BTCUSDT,-1,12,-18.935062039168265,-0.22850401357176978
KELTNER_TREND,BTCUSDT,1,12,35.27401347087399,0.4855400098446642
KELTNER_TREND,DOGEUSDT,-1,15,42.376933220201344,0.48868567162208765
KELTNER_TREND,DOGEUSDT,1,5,20.710606042510683,0.7221699856450601
KELTNER_TREND,DOTUSDT,-1,21,5.056307409262167,0.04724075095115523
KELTNER_TREND,ETHUSDT,-1,11,39.42546887292104,0.5962475577042462
KELTNER_TREND,ETHUSDT,1,8,26.1714327467269,0.5226919206499936
KELTNER_TREND,LINKUSDT,-1,6,-2.3310533817344092,-0.03286372642192018
KELTNER_TREND,LINKUSDT,1,8,-26.45266680048733,-0.5356854121603206
KELTNER_TREND,LTCUSDT,-1,6,9.007968247622825,0.25580438442367076
KELTNER_TREND,LTCUSDT,1,8,-24.3294855853975,-0.4942082823950231
KELTNER_TREND,SOLUSDT,-1,7,10.679839613610618,0.23848193836759662
KELTNER_TREND,SOLUSDT,1,6,-30.903465124770747,-0.83346423186063
KELTNER_TREND,UNIUSDT,-1,13,-2.833295345182748,-0.03596323986890894
KELTNER_TREND,UNIUSDT,1,5,-2.150739586800645,-0.10860273267245021
KELTNER_TREND,XRPUSDT,-1,6,25.79439547700198,0.6536121173786572
KELTNER_TREND,XRPUSDT,1,12,0.7573255123709419,0.02512302046605643
